facility_code,facility_name,lat,lng
DRYCGT,Dry Creek,-34.847703,138.5816
DULAWF,Dulacca,-26.631438,149.867554
DUNDWF,Dundonnell,-37.863894,142.943454
PMATTAEP,Earthpower,-33.824397,151.042142
EASTCRK,Eastern Creek,-33.815468,150.854307
EASTCRK2,Eastern Creek 2,-33.815468,150.854307
EDENVSF,Edenvale,-26.931732,150.582727
EILDON,Eildon,-37.221982,145.921476
EILDONPD,Eildon,-37.221774,145.922582
ELAINEBESS,Elaine,-37.734648,144.010291
ELAINEWF,Elaine,-37.6352,144.0237
EMERASF,Emerald,-23.507996,148.126404
ENERGYB,Energy Brix,-38.254444,146.413611
ERARING,Eraring,-33.061039,151.51984
ERB,Eraring,-33.066837,151.515026
ERGT01,Eraring,-33.062117,151.517224
ERB2,Eraring 2,-33.066837,151.515026
FWF,Ferguson,-38.610902,143.179321
FINLEYSF,Finley,-35.648941,145.50575
FISHER,Fisher,-41.673312,146.268511
FLYCRKWF,Flyers Creek,-33.517716,149.052949
FULHAMSF,Fulham,-38.121256,146.973124
GANGARR,Gangarri,-26.270557,149.758054
GANNBESS,Gannawarra,-35.734598,143.779894
GANNSF,Gannawarra,-35.729012,143.783189
GEORGTWN,George Town,-41.091063,146.893204
GERMCRK,German Creek,-22.928526,148.549097
GIRGSF,Girgarre,-36.426125,144.922155
GSTONE,Gladstone,-23.853641,151.217515
GLBWNHYD,Glenbawn,-32.107937,150.999481
GESF,Glenellen,-35.929882,146.909107
GLENMAGG,Glenmaggie,-37.904836,146.800388
GLENNCRK,Glennies Creek,-32.459876,151.128697
GLENSF,Glenrowan,-36.464,146.221
GLRWNSF,Glenrowan West,-36.4907,146.157473
GNARWARREBESS,Gnarwarre,-38.148311,144.139484
GPWBESS,Golden Plains,,
GPWFEST,Golden Plains East,-37.9729,143.783
GPWFWST,Golden Plains West,-37.90844,143.664887
GOONUMSF,Goonumbla,-33.109212,148.092982
GOESF1,Goorambat East,-36.427352,145.918853
GORDON,Gordon,-42.740519,145.982796
GRIVSF,Goulburn River,-32.282141,150.102488
GBESS,Goyder,-33.576364,138.945737
GSWF,Goyder South,-33.682196,138.936249
GRANGEAV,Grange Avenue,-33.713011,150.83316
GRANWF,Granville Harbour,-41.778439,145.065517
GREENB,Greenbank,-27.733562,152.955042
GRIFSF,Griffith,-34.317617,146.121416
GROSV1,Grosvenor 1,-21.929194,148.032416
GROSV2,Grosvenor 2,-21.929194,148.032416
GULLRGWF,Gullen Range,-34.615245,149.45808
GNNDHSF,Gunnedah,-30.937263,150.344174
GUNNING,Gunning,-34.691531,149.373013
GUSF,Gunsynd,-28.408388,150.343437
SNOWY3,Guthega,-36.350097,148.413602
GGAP,Guthrie's Gap,-24.04787,150.396092
HLMSEW01,Hallam,-38.143332,145.119964
HALAMRD,Hallam Road,-38.052181,145.267798
AGLHAL,Hallett,-33.349528,138.751607
HALLETTB,Hallett,-33.346318,138.749818
HALLWF,Hallett 1,-33.328434,138.704669
HALLWF2,Hallett 2,-33.53821,138.857215
HAMISF,Hamilton,-20.496081,147.738803
HAMPTON,Hampton,-33.649722,150.05
HVWW,Happy Valley,-35.063118,138.56476
HASTING,Hastings,-38.295952,145.221926
HAUGHT1,Haughton,-19.750134,147.048103
HD1WF,Hawkesdale,-38.148008,142.360925
HAYMSF,Hayman,-20.510097,147.755711
HAZEL,Hazelwood,-38.270575,146.389794
HBESS,Hazelwood BESS,-38.267845,146.390293
HEPWIND,Hepburn,-37.424555,144.115711
HIGHBRY,Highbury,,
HILLSTN,Hillston Sun,-33.531624,145.52242
HORNSDAL,Hornsdale,-33.05982,138.537673
HORNSDAL2,Hornsdale 2,-33.05982,138.537673
HORNSDAL3,Hornsdale 3,-33.05982,138.537673
HORNSDPR,Hornsdale Power Reserve,-33.086389,138.518659
HORSHAMSF,Horsham,-36.71577,142.25956
HUGSF,Hughenden,-20.85484,144.186257
HUMENSW,Hume,-36.106639,147.032526
HUMEV,Hume,-36.106887,147.032572
HUNTER,Hunter,-32.793406,151.478353
HEZ,Hunter Economic Zone,-32.835481,151.451033
HUNTVGT,Hunter Valley,-32.389989,150.965963
INVICTA,Invicta Sugar Mill,-19.520476,147.107439
ICSM,Isis Central Sugar Mill,-25.197619,152.206949
JACKSGUL,Jacks Gully,-34.072955,150.743691
JEERA,Jeeralang A,-38.275046,146.425572
JEERB,Jeeralang B,-38.273845,146.424827
JEMALNG1,Jemalong,-33.409099,147.655008
JNDSHPS,Jindabyne,-36.434918,148.63057
SNWYGJP2,Jindabyne Pump At Guthega,-36.434918,148.63057
JBUTTERS,John Butters,-42.154894,145.534508
JOUNAMA,Jounama,-35.562015,148.305493
JUNEESF,Junee,-34.814929,147.572334
KABANWF,Kaban,-17.560606,145.413125
KARSF,Karadoc,-34.411851,142.250443
KAREEYA,Kareeya,-17.767013,145.577993
KEEPIT,Keepit,-30.87868,150.491876
AGLSITA,Kemps Creek,-33.874591,150.761858
KENNEDY,Kennedy Energy Park,-20.872792,144.413034
KERNGSP,Kerang,-35.779895,143.941051
KIAMSF1,Kiamal,-35.021508,142.297971
KIATAWF,Kiata,-36.397288,141.747394
KIDSTON,Kidston,-18.865892,144.15955
KSP1,Kidston,-18.889381,144.14246
KINCUMB,Kincumber,-33.477111,151.402603
KINGASF,Kingaroy,-26.537087,151.890398
KOGANCK,Kogan Creek,-26.915285,150.748948
KOOLKHAN,Koolkhan,,
KOOLUNGA,Koolunga,-33.601986,138.358214
KESS1,Koorangie,-35.735367,143.754813
KRCCOGEN,KRC Cogen,-27.57359,151.926883
LADBROKE,Ladbroke Grove,-37.456341,140.782163
LBBESS,Lake Bonney,-37.738979,140.38681
LKBONNY1,Lake Bonney,-37.760504,140.405541
LKBONNY_2,Lake Bonney 2,-37.760504,140.405541
LKBONNY3,Lake Bonney 3,-37.760504,140.405541
LK_ECHO,Lake Echo,-42.253643,146.620627
LANCSF,Lancaster,-36.290467,145.141535
LVES,Latrobe Valley,-38.258183,146.418614
LNGS,Laverton North,-37.841703,144.788796
LEM_WIL,Lemonthyme / Wilmot,-41.603738,146.13894
LDBESS,Liddell,-32.37564,150.978578
LIDDELL,Liddell,-32.369027,150.980112
LILYVASF,Lilyvale,-23.084225,148.425994
LCNBESS,Limestone Coast North,-37.733181,140.840805
LIMBESS,Limondale,-34.769354,143.559464
LIMOSF1,Limondale,-34.771747,143.500494
LIMOSF2,Limondale 2,-34.775502,143.508046
LGAPWF1,Lincoln Gap,-32.564612,137.557203
LOCKHART,Lockhart,-35.217506,146.70322
LONGFORD,Longford,-38.223244,147.1631
LRSF,Longreach,-23.446178,144.35918
LONSDALE,Lonsdale,-35.109703,138.490992
LOTUSCRKWF,Lotus Creek,-22.366535,149.27332
LW,Lower Wonga,-26.100338,152.450424
LOYYANGA,Loy Yang A,-38.253534,146.574459
LOYYB,Loy Yang B,-38.256446,146.584982
LUCASHGT,Lucas Heights,-34.04829,150.973916
LUCAS2S2,Lucas Heights 2,-34.044088,150.972475
MACARTH,Macarthur,-38.043483,142.179081
MCINTYR,MacIntyre,-28.2163,152.0327
MACKAY,Mackay,-21.144595,149.158876
MACKNTSH,Mackintosh,-41.69974,145.646154
MANSLR,Manildra,-33.172681,148.718175
MANNUMB,Mannum,-34.917537,139.262695
MANNSF,Mannum 2,-34.9144,139.2681
MAPS2,Mannum Pumping Station,-34.854044,139.189749
MAROOWF1,Maroona,-37.41875,142.82434
MARYRSF,Maryrorough,-27.708611,151.546202
MARYVALE,Maryvale,-32.465112,148.913306
MEADOWBK,Meadowbank,-42.611178,146.845687
MREH,Melbourne A1,-37.661157,144.726292
MREHA2,Melbourne A2,-37.663934,144.726927
MREHA3,Melbourne A3,-37.663819,144.726859
METZSF,Metz N,-30.515484,151.859815
MIDDLSF1,Middlemount,-22.823243,148.718008
MIDLDPS,Midlands,-42.085747,147.274558
MILLMERN,Millmerran,-27.961319,151.277699
MINTARO,Mintaro,-33.903056,138.738162
MOKOSF,Mokoan,-36.489246,146.128325
MOLNGSF1,Molong,-33.08981,148.912255
MOORAWF1,Moorabool,-37.739433,144.171985
MORANBAH,Moranbah,-21.962469,148.006004
MBAHNTH,Moranbah North,-21.978481,148.004809
MOREESF,Moree,-29.569066,149.866721
