facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year
Burringurrah Power Station & Distribution Network,F,WA,754.0,562.0,0.0,562,0.75,Diesel,2024
Carnarvon Power Station & Distribution network,F,WA,41597.0,24746.0,57.0,24803,0.59,Gas,2024
Cosmo Newberry Power Station & Distribution Network,F,WA,412.0,332.0,0.0,332,0.81,Diesel,2024
Denham Power Station & Denham Distribution network,F,WA,6234.0,2722.0,0.0,2722,0.44,Diesel,2024
Gascoyne Junction Power Station & Distribution network,F,WA,761.0,588.0,0.0,588,0.77,Diesel,2024
Jameson Power Station & Distribution Network,F,WA,857.0,707.0,0.0,707,0.82,Diesel,2024
Jarlmadangah Power Station & Distribution Network,F,WA,404.0,369.0,0.0,369,0.91,Diesel,2024
Jigalong Power Station & Distribution Network,F,WA,2327.0,1531.0,0.0,1531,0.66,Diesel,2024
Kalumburu Power Station & Distribution network,F,WA,2445.0,1021.0,0.0,1021,0.42,Diesel,2024
Karratha Temporary Generation Power Station,F,WA,99.0,159.0,0.0,159,1.6,Diesel,2024
Kiwirrkurra Power Station & Distribution Network,F,WA,550.0,755.0,0.0,755,1.37,Diesel,2024
Kunawarritji Power Station & Distribution Network,F,WA,504.0,451.0,0.0,451,0.89,Diesel,2024
Kununurra Power Station & Kununurra Distribution network,F,WA,100.0,208.0,0.0,208,2.09,Diesel,2024
Kupungarri Power Station & Distribution Network,F,WA,704.0,553.0,0.0,553,0.79,Diesel,2024
Laverton Power Station & Distribution Network,F,WA,4383.0,3115.0,0.0,3115,0.71,Diesel,2024
Marble Bar Power Station & Marble Bar Distribution network,F,WA,2214.0,1176.0,0.0,1176,0.53,Diesel,2024
Menzies Power Station & Distribution Network,F,WA,751.0,590.0,0.0,590,0.79,Diesel,2024
Mindibungu Power Station & Distribution Network,F,WA,979.0,791.0,0.0,791,0.81,Diesel,2024
Mount Margaret Power Station & Distribution Network,F,WA,303.0,255.0,0.0,255,0.84,Diesel,2024
Mulan Power Station & Distribution Network,F,WA,720.0,562.0,0.0,562,0.78,Diesel,2024
Muludja Power Station & Distribution Network,F,WA,757.0,577.0,0.0,577,0.76,Diesel,2024
Murchison Radio Astronomy Power Station and Distribution Network,F,WA,3390.0,2356.0,0.0,2356,0.69,Diesel,2024
Nullagine Power Station & Nullagine Distribution network,F,WA,1231.0,698.0,0.0,698,0.57,Diesel,2024
Onslow Power Station & Onslow Distribution Network,F,WA,21362.0,10687.0,0.0,10687,0.5,Gas,2024
Pandanus Park Power Station & Distribution Network,F,WA,409.0,363.0,0.0,363,0.89,Diesel,2024
Parnngurr Power Station & Distribution Network,F,WA,846.0,465.0,0.0,465,0.55,Diesel,2024
Punmu Power Station & Distribution Network,F,WA,950.0,801.0,0.0,801,0.84,Diesel,2024
Ringer Soak Power Station & Distribution Network,F,WA,938.0,638.0,0.0,638,0.68,Diesel,2024
Tjuntjuntjara Power Station & Distribution Network,F,WA,841.0,710.0,0.0,710,0.84,Diesel,2024
Wakathuni Power Station & Distribution Network,F,WA,550.0,403.0,0.0,403,0.73,Diesel,2024
Wanarn Power Station & Distribution Network,F,WA,869.0,742.0,0.0,742,0.85,Diesel,2024
Wangkatjungka Power Station & Distribution Network,F,WA,1171.0,871.0,0.0,871,0.74,Diesel,2024
Warakurna Power Station & Distribution Network,F,WA,1807.0,1425.0,0.0,1425,0.79,Diesel,2024
Warburton Power Station & Distribution Network,F,WA,4073.0,2754.0,0.0,2754,0.68,Diesel,2024
Warralong Power Station & Distribution Network,F,WA,663.0,774.0,0.0,774,1.17,Diesel,2024
Wingellina (Irrunytju) Power Station & Distribution Network,F,WA,888.0,641.0,0.0,641,0.72,Diesel,2024
Wirrimanu Power Station & Distribution Network,F,WA,2919.0,2151.0,0.0,2151,0.74,Diesel,2024
Woolah Power Station & Distribution Network,F,WA,634.0,453.0,0.0,453,0.71,Diesel,2024
Wurreranginy Power Station & Distribution Network,F,WA,257.0,256.0,0.0,256,1.0,Diesel,2024
Wyndham Power Station & Distribution network,F,WA,69.0,43.0,0.0,43,0.63,Diesel,2024
Yakanarra Power Station & Distribution Network,F,WA,677.0,550.0,0.0,550,0.81,Diesel,2024
Yandeyarra Power Station & Distribution Network,F,WA,1443.0,923.0,0.0,923,0.64,Diesel,2024
