powerStation,state,postcode,MWCapacity,fuelSource,year,lat,lng
Gunsynd Solar Farm,QLD,,94.0,Solar,2024.0,-28.4024326,150.3648798
Aldoga Solar Farm,QLD,,380.0,Solar,2024.0,-23.8413848,151.2551924
Arnotts Huntingwood Solar Project,NSW,,4.95,Solar,2024.0,-33.79690739999999,150.8735036
Quorn Park Solar Hybrid,NSW,,98.0,Solar,2024.0,-31.2532183,146.921099
Golden Plains Wind Farm,VIC,,574.0,Wind,2024.0,-37.9472059,143.7506694
Lotus Creek Wind Farm,QLD,,285.0,Wind,2024.0,-22.4651317,149.1650414
Goorambat Solar Farm,VIC,,250.0,Solar,2024.0,-37.8103098,144.9676801
Hay Solar Farm,NSW,,7.5,Solar,2024.0,-34.512799,144.8664339
Broadsound Solar Farm,QLD,,376.0,Solar,2024.0,-21.240253,149.1486825
Boulder Creek Wind Farm,QLD,,228.0,Wind,2024.0,-23.6767552,150.3513992
Horsham Solar Farm,VIC,,118.8,Solar,2024.0,-36.7217049,142.2491668
Carwarp Energy Park,VIC,,171.0,Solar,2024.0,-34.5417166,142.2110746
Goulburn River Solar Farm,NSW,,450.0,Solar,2024.0,-32.2847231,150.0712952
Wambo Wind Farm Stage 2,QLD,,254.0,Wind,2024.0,-26.6361785,151.2697887
Warradarge Wind Farm Stage 2,WA,,108.0,Wind,2024.0,-30.0578671,115.3296682
Bungama Solar Farm (stage 3),SA,,280.0,Solar,2025.0,-33.1965843,138.0682053
Fulham Solar Farm,VIC,,80.0,Solar,2025.0,-38.1212824,146.9731313
Cloudbreak Solar Farm,WA,,190.0,Solar,2025.0,-22.3270529,119.3968821
Port Latta Wind Farm,TAS,,25.0,Wind,2025.0,-40.8541918,145.3808967
Wandoan South Solar Farm (Stage 2),QLD,,240.0,Solar,2025.0,-26.2629642,149.772688
Lancaster Solar Farm,VIC,,106.0,Solar,2025.0,-36.2983221,145.1396899
Mulwala Solar Farm,NSW,,31.0,Solar,2025.0,-35.9864644,146.0043042
Barnawartha Solar Farm,VIC,,64.0,Solar,,-36.0959962,146.6965122
Barwon solar farm,VIC,,250.0,Solar,,-36.9847807,143.3906074
Boddington Giga Energy,WA,,400.0,Solar,,-32.8055466,116.4724334
Bulli Creek Solar project Stage 1,QLD,,775.0,Solar,,-28.0220901,150.8962921
Bullyard Solar Farm,QLD,,100.0,Solar,,-24.9509441,152.0610284
Bungaban Wind Farm,QLD,,1400.0,Wind,,-25.8843272,150.1855352
Byford Solar Project,WA,,30.0,Solar,,-32.221722,116.0073374
Campbells Forest Solar Farm,VIC,,205.0,Solar,,-36.6129509,144.1404184
Coppabella Wind Farm,NSW,,284.0,Wind,,-34.7397648,148.5073926
Derby Solar Farm & Battery,VIC,,95.0,Solar,,-36.9847807,143.3906074
Elaine Solar Farm,VIC,,125.0,Solar,,-37.7776253,144.0284933
Eurimbula Solar Farm,QLD,,696.0,Solar,,-24.1606594,151.7601202
Frasers Solar Farm,VIC,,77.0,Solar,,-38.0827672,146.5962113
Ganymirra Solar Power Station,QLD,,150.0,Solar,,-22.575197,144.0847926
Glanmire Solar Farm,NSW,,60.0,Solar,,-33.4183397,149.7058388
Goyder North Wind Farm Stage 1,SA,,300.0,Wind,,-33.6511494,139.1221414
Hopeland Solar Farm,QLD,,250.0,Solar,,-26.9277686,150.7111728
Junction Rivers Wind Farm,NSW,,585.0,Wind,,-31.2532183,146.921099
Kalbarri Microgrid Project,WA,,5.0,Solar,,-27.7112189,114.1661361
Kentbruck Green Power Hub,VIC,,600.0,Wind,,-38.15,141.28
Kiamal Solar Farm,VIC,,150.0,Solar,,-35.0181236,142.3029207
Kidston Stage 3 Wind Project,QLD,,258.0,Wind,,-18.889097,144.138785
Lake Wells high renewable energy fraction microgrid,WA,,4.5,Solar,,-27.184601,123.4477664
Lake Wells high renewable energy fraction microgrid,WA,,9.0,Wind,,-27.184601,123.4477664
Lakeland Wind Farm,QLD,,100.0,Wind,,-15.858871,144.857159
Majors Creek Solar Farm,QLD,,150.0,Solar,,-19.61177,146.9435763
Manilla Community Solar,NSW,,4.5,Solar,,-30.746533,150.7240407
Mount Hopeful Wind Farm,QLD,,350.0,Wind,,-23.7333333,150.5333333
Northern Midlands Solar Farm,TAS,,288.0,Solar,,-41.7743261,147.4229874
Palmer Wind Farm,SA,,288.0,Wind,,-34.8517377,139.1593299
Planet Ark Power,SA,,5.7,Solar,,-35.0088479,138.5748227
Port Augusta Energy Park Stage 2,SA,,300.0,Solar,,-32.5565655,137.8642145
Sandy Creek Solar Farm,NSW,,700.0,Solar,,-31.9155912,145.4584664
Sapphire Solar Farm,NSW,,200.0,Solar,,-31.2532183,146.921099
Silverleaf Solar Farm,NSW,,120.0,Solar,,-31.2532183,146.921099
Smoky Creek and Guthrie's Gap Solar Farm,QLD,,600.0,Solar,,-24.113871392095,150.5059587305891
Snowtown North Solar Farm,SA,,44.0,Solar,,-33.7809175,138.2149099
Spicers Creek Wind Farm,NSW,,700.0,Wind,,-32.3876753,149.1599339
Theodore Wind Farm,QLD,,1152.0,Wind,,-24.9474548,150.0755894
Thunderbolt Wind Farm stage 1,NSW,,230.0,Wind,,-30.7454926,151.2775848
Upper Calliope Solar Farm,QLD,,1300.0,Solar,,-24.0062017,151.2011287
Vales Point Solar Farm,NSW,,62.0,Solar,,-33.1437815,151.5373285
Valley of the Winds,NSW,,936.0,Wind,,-31.2532183,146.921099
Vast Solar Facility,SA,,30.0,Solar,,-32.3207707,137.6267813
Walgett Solar Farm,NSW,,25.0,Solar,,-30.0215209,148.1167617
Waroona Solar Fam,WA,,120.0,Solar,,-32.8429333,115.9214559
West Mokoan Solar Farm,VIC,,300.0,Solar,,-36.38,146.03
Winton North Solar Farm,VIC,,100.0,Solar,,-36.4739407,146.1354628
Woolsthorpe Wind Farm,VIC,,70.0,Wind,,-38.1600531,142.3765783
