powerStation,state,postcode,MWCapacity,fuelSource,Accreditation start date,Approval date,inSheet,Committed Date (Month/Year)
Goodman AU702 Axle West - Solar w SGU - NSW,NSW,2766.0,0.655,Solar,2025-06-20,2025-07-18,Approved,
Pillow Talk Darra – Solar wSGU – Qld,QLD,4076.0,0.3998,Solar,2025-06-10,2025-07-18,Approved,
SOC Osborne Park - Solar - WA,WA,6017.0,0.2996,Solar,2025-07-07,2025-07-18,Approved,
Temora 1C Solar Farm - Solar - NSW,NSW,2666.0,6.1212,Solar,2025-03-20,2025-07-18,Approved,
Harvey Norman Maroochydore Homemaker - Solar w SGU - QLD,QLD,4558.0,0.4536,Solar,2025-07-11,2025-07-21,Approved,
Spreyton - Solar - TAS,TAS,7310.0,0.1743,Solar,2025-07-08,2025-07-21,Approved,
AU254 M7 BH - Solar - NSW,NSW,2766.0,0.4378,Solar,2025-05-09,2025-07-23,Approved,
House Power North Maroochydore Homemaker - Solar w SGU - QLD,QLD,4558.0,0.203,Solar,2025-07-11,2025-07-23,Approved,
House Power South Maroochydore Homemaker - Solar w SGU - QLD,QLD,4558.0,0.1873,Solar,2025-07-11,2025-07-23,Approved,
Culcairn Solar Farm - Solar - NSW,NSW,2660.0,439.8689,Solar,2025-06-26,2025-07-25,Approved,
Domayne Maroochydore Homemaker - Solar w SGU - QLD,QLD,4558.0,0.203,Solar,2025-07-11,2025-07-25,Approved,
GRAC - Solar w SGU - VIC,VIC,3844.0,0.3045,Solar,2025-06-25,2025-07-25,Approved,
Greenlink 6 - Solar - VIC,VIC,3977.0,0.4385,Solar,2025-06-06,2025-07-25,Approved,
HomeCo Hawthorn East - Solar - VIC,VIC,3123.0,0.2,Solar,2025-05-26,2025-07-25,Approved,
Joyce Mayne Maroochydore Homemaker - Solar w SGU - QLD,QLD,4558.0,0.1873,Solar,2025-07-11,2025-07-25,Approved,
Morgan Sawmill Dublin - Solar - SA,SA,5501.0,0.7052,Solar,2025-05-12,2025-07-25,Approved,
Nhill Renewable Energy Facility - Solar - VIC,VIC,3418.0,6.512,Solar,2025-07-03,2025-07-25,Approved,
Woolworths Eagle Vale 1091 - Solar - NSW,NSW,2558.0,0.3375,Solar,2025-07-08,2025-07-25,Approved,
Greenacres Joint Venture - Solar w SGU - SA,SA,5086.0,0.2449,Solar,2025-07-09,2025-07-31,Approved,
Moorebank - Solar - NSW,NSW,2170.0,1.7308,Solar,2025-05-23,2025-07-31,Approved,
Redmud Green Energy 197 Pty Ltd - Solar - NSW,NSW,2386.0,6.5185,Solar,2025-07-15,2025-07-31,Approved,
Stanhope Leisure Centre - SOLAR w SGU - NSW,NSW,2768.0,0.3504,Solar,2025-07-25,2025-07-31,Approved,
UA Mornington - Solar - TAS,TAS,7018.0,0.2102,Solar,2025-06-24,2025-07-31,Approved,
Harvey Norman Warragul - Solar w SGU - VIC,VIC,3820.0,0.3364,Solar,2025-07-18,2025-08-01,Approved,
Goodman AU079 Greystanes Laminex - Solar w SGU - NSW,NSW,2145.0,0.4,Solar,2025-06-20,2025-08-04,Approved,
DW Coomera - Solar wSGU - QLD,QLD,4209.0,0.7086,Solar,2025-07-02,2025-08-05,Approved,
Mackay Christian College Senior Campus - Solar w SGU – QLD,QLD,4740.0,0.2899,Solar,2025-06-23,2025-08-05,Approved,
Team Medical Supplies - Solar w SGU - NSW,NSW,2147.0,0.2067,Solar,2025-07-10,2025-08-05,Approved,
Americold Hemmant 3 - Solar w SGU - QLD,QLD,4174.0,0.5235,Solar,2025-07-28,2025-08-07,Approved,
Brothers Sports Club - Solar  - QLD,QLD,4670.0,0.292,Solar,2025-07-08,2025-08-07,Approved,
Dungog WTP - Solar - NSW,NSW,2420.0,0.3006,Solar,2025-07-08,2025-08-08,Approved,
Wollongong WRRF - Solar - NSW,NSW,2505.0,0.2461,Solar,2025-05-23,2025-08-08,Approved,
Canally Microgrid - Solar - NSW,NSW,2715.0,6.5668,Solar,2025-08-04,2025-08-14,Approved,
Coffs Harbour Grange Care Community - Solar w SGU - NSW,NSW,2450.0,0.1885,Solar,2025-07-29,2025-08-14,Approved,
Munno Para Foodland - Solar w SGU - SA,SA,5114.0,1.1799,Solar,2025-06-18,2025-08-14,Approved,
Tronox-Solar-NSW,NSW,2715.0,10.7125,Solar,2025-07-12,2025-08-14,Approved,
Elements of Byron - Solar wSGU - NSW,NSW,2481.0,0.8366,Solar,2025-05-20,2025-08-19,Approved,
FABCOT Chermside - Solar - QLD,QLD,4032.0,0.2539,Solar,2025-07-14,2025-08-19,Approved,
Altona Inlet Pump Station - SOLAR - VIC,VIC,3018.0,0.2256,Solar,2025-04-16,2025-08-26,Approved,
Bunnings Keysborough - Solar - VIC,VIC,3173.0,0.2002,Solar,2025-06-24,2025-08-26,Approved,
Ignatius Park College - SOLAR w SGU - QLD,QLD,4814.0,0.2904,Solar,2025-08-04,2025-08-26,Approved,
Ambassador Industrial Pty Ltd - Solar w SGU - VIC,VIC,3803.0,0.2569,Solar,2025-07-25,2025-08-27,Approved,
Dexus Dulux Dandenong - Solar - VIC,VIC,3175.0,0.2262,Solar,2025-07-25,2025-08-27,Approved,
Harbourside Townsville - Solar w SGU - QLD,QLD,4810.0,0.7794,Solar,2025-08-04,2025-08-27,Approved,
KQF Newheath Dr - Solar w SGU - QLD,QLD,4214.0,0.5359,Solar,2025-07-30,2025-08-27,Approved,
Liuzzi 25 Eton St - Solar - VIC,VIC,3072.0,0.275,Solar,2025-07-21,2025-08-27,Approved,
Liuzzi 71 Gower St - Solar - VIC,VIC,3072.0,0.4,Solar,2025-07-21,2025-08-27,Approved,
Mercy Community - Solar w SGU - QLD,QLD,4014.0,0.8525,Solar,2025-08-04,2025-08-27,Approved,
Norther Airfield - Solar - VIC,VIC,3045.0,11.2784,Solar,2025-06-01,2025-08-27,Approved,
Rose Farms - Solar wSGU- WA,WA,6220.0,0.1997,Solar,2025-08-04,2025-08-27,Approved,
Suprima Bakeries Pty Ltd - Solar - NSW,NSW,2566.0,0.7513,Solar,2025-07-23,2025-08-27,Approved,
East Rockingham Resource Recovery Facility,WA,,29.0,Biomass,,,Committed,2019-12-23
Mangalore Renewable Energy Project,VIC,,5.0,Solar,,,Committed,2021-09-02
Orange Community Renewable Energy Park,NSW,,5.0,Solar,,,Committed,2022-07-24
Moorebank Logistics Park,NSW,,60.0,Solar,,,Committed,2022-09-21
Wangaratta Solar Farm,VIC,,40.0,Solar,,,Committed,2023-07-04
Kidston Pumped Hydro Storage Project,QLD,,250.0,Hydro,,,Committed,2023-07-11
New England Solar Farm - Stage 2,NSW,,320.0,Solar,,,Committed,2023-07-24
Bellevue Gold Hybrid Power Station (Wind),WA,,24.0,Wind,,,Committed,2023-09-04
Glenellen solar project,NSW,,200.0,Solar,,,Committed,2023-11-01
Forest Glen Solar Farm,NSW,,90.0,Solar,,,Committed,2023-12-31
Uungula Wind Farm,NSW,,414.0,Wind,,,Committed,2024-01-11
Munna Creek Solar Farm,QLD,,150.0,Solar,,,Committed,2024-01-18
St Ives Gold Solar Farm,WA,,77.0,Wind,,,Committed,2024-03-11
Gunsynd Solar Farm,QLD,,94.0,Solar,,,Committed,2024-03-18
Aldoga Solar Farm,QLD,,380.0,Solar,,,Committed,2024-04-09
Arnotts Huntingwood Solar Project,NSW,,4.95,Solar,,,Committed,2024-05-28
Quorn Park Solar Hybrid,NSW,,98.0,Solar,,,Committed,2024-06-14
Golden Plains Wind Farm - Stage 2,VIC,,574.0,Wind,,,Committed,2024-06-19
Lotus Creek Wind Farm,QLD,,285.0,Wind,,,Committed,2024-08-15
Goorambat Solar Farm,VIC,,250.0,Solar,,,Committed,2024-08-16
Hay Solar Farm,NSW,,7.5,Solar,,,Committed,2024-09-04
Broadsound Solar Farm,QLD,,376.0,Solar,,,Committed,2024-09-05
Boulder Creek Wind Farm,QLD,,228.0,Wind,,,Committed,2024-09-27
Horsham Solar Farm,VIC,,118.8,Solar,,,Committed,2024-11-20
Carwarp Energy Park,VIC,,171.0,Solar,,,Committed,2024-12-16
Goulburn River Solar Farm,NSW,,450.0,Solar,,,Committed,2024-12-17
Wambo Wind Farm Stage 2,QLD,,254.0,Wind,,,Committed,2024-12-18
Warradarge Wind Farm Stage 2,WA,,108.0,Wind,,,Committed,2024-12-23
Bungama Solar Farm (stage 3),SA,,280.0,Solar,,,Committed,2025-02-06
Fulham Solar Farm,VIC,,80.0,Solar,,,Committed,2025-04-09
Cloudbreak Solar Farm,WA,,190.0,Solar,,,Committed,2025-04-16
Port Latta Wind Farm,TAS,,25.0,Wind,,,Committed,2025-04-18
Wandoan South Solar Farm (Stage 2),QLD,,240.0,Solar,,,Committed,2025-04-29
Lancaster Solar Farm,VIC,,106.0,Solar,,,Committed,2025-06-19
Mulwala Solar Farm,NSW,,31.0,Solar,,,Committed,2025-06-19
Barnawartha Solar Farm,VIC,,64.0,Solar,,,Probable,
Barwon solar farm,VIC,,250.0,Solar,,,Probable,
Boddington Giga Energy,WA,,400.0,Solar,,,Probable,
Bulli Creek Solar project Stage 1,QLD,,775.0,Solar,,,Probable,
Bullyard Solar Farm,QLD,,100.0,Solar,,,Probable,
Bungaban Wind Farm,QLD,,1400.0,Wind,,,Probable,
Byford Solar Project,WA,,30.0,Solar,,,Probable,
Campbells Forest Solar Farm,VIC,,205.0,Solar,,,Probable,
Coppabella Wind Farm,NSW,,284.0,Wind,,,Probable,
Derby Solar Farm & Battery,VIC,,95.0,Solar,,,Probable,
Elaine Solar Farm,VIC,,125.0,Solar,,,Probable,
Eurimbula Solar Farm,QLD,,696.0,Solar,,,Probable,
Frasers Solar Farm,VIC,,77.0,Solar,,,Probable,
Ganymirra Solar Power Station,QLD,,150.0,Solar,,,Probable,
Glanmire Solar Farm,NSW,,60.0,Solar,,,Probable,
Goyder North Wind Farm Stage 1,SA,,300.0,Wind,,,Probable,
Hopeland Solar Farm,QLD,,250.0,Solar,,,Probable,
Junction Rivers Wind Farm,NSW,,585.0,Wind,,,Probable,
Kalbarri Microgrid Project,WA,,5.0,Solar,,,Probable,
Kentbruck Green Power Hub,VIC,,600.0,Wind,,,Probable,
Kiamal Solar Farm - Stage 2,VIC,,150.0,Solar,,,Probable,
Kidston Stage 3 Wind Project,QLD,,258.0,Wind,,,Probable,
Lake Wells high renewable energy fraction microgrid -Solar,WA,,4.5,Solar,,,Probable,
Lake Wells high renewable energy fraction microgrid -Wind,WA,,9.0,Wind,,,Probable,
Lakeland Wind Farm,QLD,,100.0,Wind,,,Probable,
Majors Creek Solar Farm,QLD,,150.0,Solar,,,Probable,
Manilla Community Solar,NSW,,4.5,Solar,,,Probable,
Mount Hopeful Wind Farm,QLD,,350.0,Wind,,,Probable,
Northern Midlands Solar Farm,TAS,,288.0,Solar,,,Probable,
Palmer Wind Farm,SA,,288.0,Wind,,,Probable,
Planet Ark Power - Schneider Electricity PV and Battery Project,SA,,5.7,Solar,,,Probable,
Port Augusta Energy Park Stage 2,SA,,300.0,Solar,,,Probable,
Sandy Creek Solar Farm,NSW,,700.0,Solar,,,Probable,
Sapphire Solar Farm,NSW,,200.0,Solar,,,Probable,
Silverleaf Solar Farm,NSW,,120.0,Solar,,,Probable,
Smoky Creek and Guthrie's Gap Solar Farm,QLD,,600.0,Solar,,,Probable,
Snowtown North Solar Farm,SA,,44.0,Solar,,,Probable,
Spicers Creek Wind Farm,NSW,,700.0,Wind,,,Probable,
Theodore Wind Farm,QLD,,1152.0,Wind,,,Probable,
Thunderbolt Wind Farm stage 1,NSW,,230.0,Wind,,,Probable,
Upper Calliope Solar Farm,QLD,,1300.0,Solar,,,Probable,
Vales Point Solar Farm,NSW,,62.0,Solar,,,Probable,
Valley of the Winds,NSW,,936.0,Wind,,,Probable,
Vast Solar Facility - VS1,SA,,30.0,Solar,,,Probable,
Walgett Solar Farm,NSW,,25.0,Solar,,,Probable,
Waroona Solar Fam,WA,,120.0,Solar,,,Probable,
West Mokoan Solar Farm,VIC,,300.0,Solar,,,Probable,
Winton North Solar Farm,VIC,,100.0,Solar,,,Probable,
Woolsthorpe Wind Farm,VIC,,70.0,Wind,,,Probable,
