facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year,lat,lng
LGP Belmont Administration & Kalamunda Facility,FA,WA,6.0,19.0,18.0,37,3.42,Liquid Fuel,2015,-31.9497631,115.9297417
LGP Canning Vale Facility,F,WA,661.0,36.0,10.0,46,0.05,Landfill Gas,2015,-32.0887424,115.9177846
LGP Red Hill Facility,F,WA,25521.0,1277.0,1.0,1278,0.05,Landfill Gas,2015,-31.8548072,116.0538776
LGP Tamala Park Facility,F,WA,31881.0,1588.0,2.0,1590,0.05,Landfill Gas,2015,-31.704321,115.7349162
Smithfield Power Partnership,F,NSW,968538.0,460102.0,0.0,460102,0.48,Gas,2015,-33.8535722,150.9406861
Condamine Power Station,F,QLD,765100.0,333565.0,526.0,334091,0.44,Gas,2015,-26.6681504,150.270009
Yarnima Power Station IOP,F,WA,458924.0,307351.0,0.0,307351,0.67,Gas,2015,-23.3435575,119.7109647
Bluewaters Power 1,F,WA,1673841.0,1482015.0,2327.0,1484342,0.89,Black Coal,2015,-31.9535601,115.8517887
Bluewaters Power 2,F,WA,1688377.0,1377635.0,1775.0,1379410,0.82,Black Coal,2015,-31.9535601,115.8517887
Brookfield District Energy (GX) Pty Ltd,F,NSW,21723.0,11861.0,22049.0,33910,0.55,Gas,2015,-31.2532183,146.921099
Canunda Wind Farm,F,SA,123687.0,17.0,156.0,173,0.0,Wind,2015,-37.6613687,140.2531151
Broadwater Power Plant,F,NSW,178872.0,6032.0,1423.0,7455,0.03,Bagasse,2015,-29.0145838,153.4300366
Condong Power Plant,F,NSW,104359.0,3007.0,1687.0,4694,0.03,Bagasse,2015,-28.3117883,153.4363815
FMG Cloud Break Mine Site Power Station,F,WA,178737.0,110575.0,0.0,110575,0.62,Diesel,2015,-22.3270529,119.3968821
Norseman Gold Power Station,F,WA,14146.0,10193.0,0.0,10193,0.72,Diesel,2015,-32.1976369,121.7789566
Callide A Power Station,F,QLD,100820.0,123177.0,43885.0,167062,1.22,Black Coal,2015,-24.2927187,150.4933758
Callide B Power Station,F,QLD,3529535.0,3285158.0,34530.0,3319688,0.93,Black Coal,2015,-24.2927187,150.4933758
Kogan Creek Power Station,F,QLD,5731490.0,4761463.0,2411.0,4763874,0.83,Black Coal,2015,-26.9146137,150.746994
Wivenhoe Power Station,F,QLD,20244.0,23.0,50466.0,50489,0.0,Hydro,2015,-22.575197,144.0847926
Collgar Wind Farm,F,WA,712890.0,227.0,611.0,838,0.0,Wind,2015,-31.9509006,115.8496117
Boco Rock Wind Farm Pty Ltd,F,NSW,208779.0,55.0,720.0,775,0.0,Wind,2015,-33.862282,151.2078801
Taralga Wind Farm Pty Ltd,F,NSW,73768.0,20.0,128.0,148,0.0,Wind,2015,-34.4237104,149.8258649
Brown Mountain Power Station,F,NSW,13453.0,6.0,0.0,6,0.0,Hydro,2015,-36.6098991,149.4800741
Colongra PS,F,NSW,71796.0,41565.0,3913.0,45478,0.58,Gas,2015,-33.2075171,151.5402519
Vales Point Power Station,F,NSW,6936854.0,6020229.0,47711.0,6067940,0.87,Black Coal,2015,-33.1620493,151.5407221
Diamantina Power Station,F,QLD,1502967.0,613667.0,95.0,613762,0.41,Gas,2015,-20.7830295,139.4829711
Jeeralang Power Station,F,VIC,22165.0,15640.0,6730.0,22370,0.71,Gas,2015,-38.3670385,146.4391023
Newport Power Station,F,VIC,95248.0,52641.0,24749.0,77390,0.55,Gas,2015,-37.8411815,144.8944409
Albany Wind Farm,F,WA,96556.0,13.0,7.0,20,0.0,Wind,2015,-35.0658656,117.7996621
