facility_name,facility_code,lat,lng,state,fuel_list
Darling Downs,DDSF,-27.112,150.8819,QLD,"['Gas', 'Solar', 'Wind']"
Darlington Point,DARLSF,-34.644808,146.035756,NSW,['Solar']
Darlington Point,DPNTB,-34.646668,146.034982,NSW,['Solar']
Dartmouth,DARTM,-36.55529,147.519872,VIC,['Hydro']
Daydream,DAYDSF,-20.512804,147.691968,QLD,['Solar']
Devils Gate,DEVILS_G,-41.349925,146.262709,TAS,['Hydro']
Dry Creek,DRYCGT,-34.847293,138.582297,SA,"['Gas', 'Solar']"
Dulacca,DULAWF,-26.637485,149.870186,QLD,['Wind']
Dundonnell,DUNDWF,-37.863894,142.943454,VIC,['Wind']
Eastern Creek,EASTCRK,-33.815468,150.854307,NSW,"['Landfill Gas', 'Landfill Gas']"
Eastern Creek 2,EASTCRK2,-33.815468,150.854307,NSW,['Landfill Gas']
Eildon,EILDON,-37.221262,145.920966,VIC,['Hydro']
Eildon,EILDONPD,-37.221774,145.922582,VIC,['Hydro']
Emerald,EMERASF,-23.50879,148.128017,QLD,"['Solar', 'Wind']"
Energy Brix,ENERGYB,-38.254444,146.413611,VIC,['Brown Coal']
Eraring,ERARING,-33.061548,151.524612,NSW,"['Black Coal', 'Battery']"
Eraring,ERB,-33.066837,151.515026,NSW,"['Black Coal', 'Battery']"
Eraring,ERGT01,-33.062117,151.517224,NSW,"['Black Coal', 'Battery']"
Ferguson,FWF,-38.610902,143.179321,ACT,['Wind']
Ferguson,FWF,-38.610902,143.179321,VIC,['Wind']
Finley,FINLEYSF,-35.64421,145.508644,NSW,['Solar']
Fisher,FISHER,-41.672662,146.268739,TAS,['Hydro']
Gangarri,GANGARR,-26.254813,149.986704,QLD,['Solar']
Gannawarra,GANNBESS,-33.735056,143.779462,VIC,['Solar']
Gannawarra,GANNSF,-35.73,143.7711,VIC,['Solar']
George Town,GEORGTWN,-41.091063,146.893204,TAS,['Diesel']
German Creek,GERMCRK,-22.928526,148.549097,QLD,['Waste Coal Mine Gas']
Girgarre,GIRGSF,-26.2548,149.9867,VIC,['Solar']
Gladstone,GSTONE,-23.848741,151.220787,QLD,['Black Coal']
Glenbawn,GLBWNHYD,-32.107937,150.999481,NSW,['Hydro']
Glenmaggie,GLENMAGG,-37.904836,146.800388,VIC,['Hydro']
Glennies Creek,GLENNCRK,-32.464343,151.130432,NSW,['Waste Coal Mine Gas']
Glenrowan,GLENSF,-36.464,146.221,VIC,['Solar']
Glenrowan West,GLRWNSF,-36.488083,146.146887,VIC,['Solar']
Goonumbla,GOONUMSF,-33.106413,148.099274,NSW,['Solar']
Gordon,GORDON,-42.740157,145.983375,TAS,['Hydro']
Grange Avenue,GRANGEAV,-33.713011,150.83316,NSW,['Landfill Gas']
Granville Harbour,GRANWF,-41.802,145.056,TAS,['Wind']
Grosvenor 1,GROSV1,-21.929194,148.032416,QLD,['Waste Coal Mine Gas']
Grosvenor 2,GROSV2,-21.929194,148.032416,QLD,['Waste Coal Mine Gas']
Gullen Range,GULLRGWF,-34.624512,149.458549,NSW,['Wind']
Gunnedah,GNNDHSF,-30.965469,150.367917,NSW,"['Solar', 'Solar']"
Gunning,GUNNING,-34.676361,149.66443,NSW,['Wind']
Hallett,AGLHAL,-33.34931,138.752633,SA,"['Wind', 'Gas/Diesel', 'Gas']"
Hamilton,HAMISF,-20.468593,147.799484,NT,['Solar']
Hamilton,HAMISF,-20.468593,147.799484,QLD,['Solar']
Hampton,HAMPTON,-33.649722,150.05,VIC,['Landfill Gas']
Haughton,HAUGHT1,-19.732168,147.076137,QLD,['Solar']
Hawkesdale,HD1WF,-38.148008,142.360925,VIC,['Wind']
Hayman,HAYMSF,-20.487516,147.744778,QLD,['Solar']
Hazelwood,HAZEL,-38.270575,146.389794,VIC,['Brown Coal']
Hillston Sun,HILLSTN,-33.532991,145.522279,NSW,['Solar']
Hume,HUMENSW,-36.106383,147.032263,NSW,['Hydro']
Hume,HUMEV,-36.106887,147.032572,NSW,['Hydro']
Hunter,HUNTER,-32.793406,151.478353,NSW,['Gas']
Hunter Valley,HUNTVGT,-32.389989,150.965963,NSW,['Gas']
Jacks Gully,JACKSGUL,-34.072955,150.743691,NSW,['Landfill Gas']
Jemalong,JEMALNG1,-33.388764,147.669375,NSW,['Solar']
John Butters,JBUTTERS,-42.15589,145.536508,TAS,['Hydro']
Junee,JUNEESF,-34.81124,147.572099,NSW,['Solar']
Kareeya,KAREEYA,-17.766456,145.576884,QLD,['Hydro']
Keepit,KEEPIT,-30.87868,150.491876,NSW,['Hydro']
Kemps Creek,AGLSITA,-33.874591,150.761858,NSW,['Landfill Gas']
Kennedy Energy Park,KENNEDY,-20.872792,144.413034,QLD,['Wind']
Kiamal,KIAMSF1,-35.018133,142.302953,VIC,"['Solar', 'Solar']"
Kiata,KIATAWF,-36.397693,141.746827,VIC,['Wind']
Kidston,0KIDSTON,-18.865892,144.15955,QLD,"['Solar', 'Solar', 'Hydro', 'Wind']"
Kidston,KSP1,-18.88,144.151,QLD,"['Solar', 'Solar', 'Hydro', 'Wind']"
Kincumber,KINCUMB,-33.477111,151.402603,NSW,['Landfill Gas']
Kogan Creek,KOGANCK,-26.915285,150.748948,QLD,['Black Coal']
Ladbroke Grove,LADBROKE,-37.456183,140.782699,SA,['Gas']
Lake Bonney,LBBESS,-37.738787,140.384672,SA,"['Wind', 'Battery']"
Lake Bonney,LKBONNY1,-37.760504,140.405541,SA,"['Wind', 'Battery']"
Lake Echo,LK_ECHO,-42.253339,146.620515,TAS,['Hydro']
Laverton North,LNGS,-37.841693,144.788006,VIC,['Gas']
Liddell,0LIDDELLBESS,-32.37564,150.978578,NSW,['Black Coal']
Liddell,LIDDELL,-32.369027,150.980112,NSW,['Black Coal']
Lilyvale,LILYVASF,-23.070504,148.413865,QLD,['Solar']
Limondale,LIMBESS,-34.769354,143.559464,NSW,['Solar']
Limondale,LIMOSF1,-34.775502,143.508046,NSW,['Solar']
Lincoln Gap,LGAPWF1,-32.546333,137.552763,SA,['Wind']
Lockhart,0LOCKHART,-35.217506,146.70322,QLD,['Diesel']
Longreach,LRSF,-23.455048,144.227917,QLD,['Solar']
Lonsdale,LONSDALE,-35.109718,138.490962,SA,['Diesel']
Loy Yang B,LOYYB,-38.253619,146.585593,VIC,['Brown Coal']
Lucas Heights,LUCASHGT,-34.04829,150.973916,NSW,['Landfill Gas']
