powerStation,state,postcode,MWCapacity,fuelSource,Accreditation start date,Approval date,inSheet,Committed Date (Month/Year)
Agright Griffith Carrathool - Solar - NSW,NSW,2711.0,0.472,Solar,2025-11-11,2026-03-27,Approved,
HomeCo Mackay B - Solar w SGU - QLD,QLD,4740.0,0.2306,Solar,2026-03-23,2026-03-27,Approved,
Woolworths Calderwood Village Centre 1051 - Solar - NSW,NSW,2527.0,0.2418,Solar,2026-03-24,2026-03-31,Approved,
Woolworths Lisarow 1574 - Solar w SGU - NSW,NSW,2250.0,0.2694,Solar,2026-03-16,2026-03-31,Approved,
BC Bongaree - Solar w SGU - QLD,QLD,4507.0,0.1388,Solar,2025-12-12,2026-04-09,Approved,
La Salle College PV System - Solar - WA,WA,6056.0,0.1993,Solar,2026-03-24,2026-04-09,Approved,
Midkin Solar Farm - Solar - NSW,NSW,2400.0,5.301,Solar,2025-09-05,2026-04-09,Approved,
Monarto Energy Project - Solar - SA,SA,5254.0,6.6886,Solar,2026-01-22,2026-04-09,Approved,
Westfield Chatswood and Dougherty Centre - Solar - NSW,NSW,2067.0,0.1352,Solar,2025-11-07,2026-04-09,Approved,
Conga foods Yennora - solar w SGU - NSW,NSW,2161.0,0.8782,Solar,2026-03-11,2026-04-13,Approved,
Fletcher Dandenong - Solar - VIC,VIC,3175.0,0.5428,Solar,2026-03-24,2026-04-13,Approved,
Uniting Starrett Lodge - Solar w SGU - NSW,NSW,2259.0,0.1955,Solar,2026-04-02,2026-04-13,Approved,
Woolworths Doolandella 2938 - Solar - QLD,QLD,4077.0,0.2438,Solar,2026-03-31,2026-04-13,Approved,
AU866 Translink - Solar w SGU - NSW,NSW,2019.0,0.1996,Solar,2026-04-01,2026-04-24,Approved,
The Gables Retail Centre & BESS - Solar w SGU - NSW,NSW,2765.0,0.5374,Solar,2026-02-23,2026-05-07,Approved,
Willawong Warehouse 1 & BESS - Solar - QLD,QLD,4110.0,0.5841,Solar,2026-04-15,2026-05-07,Approved,
AU470 Airgate - WW Solar w SGU - NSW,NSW,2020.0,0.2,Solar,2026-04-01,2026-05-12,Approved,
Costa Monarto - Solar - SA,SA,5254.0,1.1865,Solar,2026-01-19,2026-05-12,Approved,
Exmouth-Solar-WA,WA,6707.0,9.8522,Solar,2026-03-20,2026-05-12,Approved,
Fletcher Building Wendouree - Solar - VIC,VIC,3355.0,1.2001,Solar,2026-03-24,2026-05-12,Approved,
Agile Energy - Holcim Rockhampton - Solar w SGU - QLD,QLD,4701.0,0.2897,Solar,2025-12-08,2026-05-15,Approved,
EQT Marsden Park - Solar - NSW,NSW,2765.0,0.5005,Solar,2026-03-27,2026-05-15,Approved,
Geraldton Airport Microgrid - Solar - WA,WA,6532.0,0.8424,Solar,2026-04-17,2026-05-15,Approved,
Woolworths Banora Point 2641 - Solar - NSW,NSW,2486.0,0.2587,Solar,2026-04-28,2026-05-15,Approved,
Bridgewest Perth Pharma - Solar - WA,WA,6102.0,1.0004,Solar,2026-02-10,2026-05-18,Approved,
Woolworths Beechboro 4384 - Solar - WA,WA,6063.0,0.275,Solar,2026-04-30,2026-05-21,Approved,
Clean Peak Energy - Uranquinty Solar Farm - Solar - NSW,NSW,2652.0,8.2286,Solar,2025-12-05,2026-05-29,Approved,
Goorambat East Solar Farm - Solar - Vic,VIC,3725.0,319.7785,Solar,2026-02-23,2026-05-29,Approved,
Goulburn Community SF & BESS - Solar - NSW,NSW,2580.0,1.3863,Solar,2026-03-18,2026-05-29,Approved,
Melbourne Business Park & BESS - Solar w SGU - VIC,VIC,3029.0,0.705,Solar,2026-05-18,2026-05-29,Approved,
Tamworth-Solar-NSW,NSW,2340.0,7.0087,Solar,2026-03-11,2026-05-29,Approved,
WesTrac PDC South Guildford - Solar - WA,WA,6055.0,0.9955,Solar,2026-05-07,2026-05-29,Approved,
East Rockingham Resource Recovery Facility,WA,,29.0,Biomass,,,Committed,2019-12-23
Mangalore Renewable Energy Project,VIC,,5.0,Solar,,,Committed,2021-09-02
Orange Community Renewable Energy Park,NSW,,5.0,Solar,,,Committed,2022-07-24
Moorebank Logistics Park,NSW,,60.0,Solar,,,Committed,2022-09-21
Kidston Pumped Hydro Storage Project,QLD,,250.0,Hydro,,,Committed,2023-07-11
New England Solar Farm - Stage 2,NSW,,320.0,Solar,,,Committed,2023-07-24
Forest Glen Solar Farm,NSW,,90.0,Solar,,,Committed,2023-12-31
Uungula Wind Farm,NSW,,414.0,Wind,,,Committed,2024-01-11
St Ives Gold Solar Farm,WA,,77.0,Wind,,,Committed,2024-03-11
Quorn Park Solar Hybrid,NSW,,98.0,Solar,,,Committed,2024-06-14
Lotus Creek Wind Farm,QLD,,285.0,Wind,,,Committed,2024-08-15
Boulder Creek Wind Farm,QLD,,228.0,Wind,,,Committed,2024-09-27
Horsham Solar Farm,VIC,,118.8,Solar,,,Committed,2024-11-20
Goulburn River Solar Farm,NSW,,450.0,Solar,,,Committed,2024-12-17
Wambo Wind Farm Stage 2,QLD,,254.0,Wind,,,Committed,2024-12-18
Warradarge Wind Farm Stage 2,WA,,108.0,Wind,,,Committed,2024-12-23
Bungama Solar Farm (stage 3),SA,,280.0,Solar,,,Committed,2025-02-06
Maryvale Solar Farm,NSW,,172.0,Solar,,,Committed,2025-03-11
Lancaster Solar Farm,VIC,,106.0,Solar,,,Committed,2025-03-25
Fulham Solar Farm,VIC,,80.0,Solar,,,Committed,2025-04-09
Cloudbreak Solar Farm,WA,,190.0,Solar,,,Committed,2025-04-16
Port Latta Wind Farm,TAS,,25.0,Wind,,,Committed,2025-04-18
Wandoan South Solar Farm (Stage 2),QLD,,240.0,Solar,,,Committed,2025-04-29
Mulwala Solar Farm,NSW,,31.0,Solar,,,Committed,2025-06-19
