reportingEntity,facilityName,type,state,electricityProductionGJ,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,gridConnected,grid,primaryFuel,importantNotes,year
,Corporate Total,C,,144408.0,40113.0,,,0.0,,,,,,2016
,Bastyan Hydro Power Station,F,TAS,976362.0,271212.0,,,94.0,0.0,On,NEM,Hydro,,2016
,Bell Bay Thermal Power Station,F,TAS,543.0,151.0,,,801.0,5.04,On,NEM,Gas,,2016
,Butlers Gorge Hydro Power Station,F,TAS,169404.0,47057.0,,,0.0,0.0,On,NEM,Hydro,,2016
,Catagunya Hydro Power Station,F,TAS,805018.0,223616.0,,,15032.0,0.07,On,NEM,Hydro,,2016
,Cethana Hydro Power Station,F,TAS,611375.0,169826.0,,,103.0,0.0,On,NEM,Hydro,,2016
,Cluny Hydro Power Station,F,TAS,270139.0,75039.0,,,9.0,0.0,On,NEM,Hydro,,2016
,Devils Gate Hydro Power Station,F,TAS,814361.0,226211.0,,,15.0,0.0,On,NEM,Hydro,,2016
,Fisher Hydro Power Station,F,TAS,594628.0,165174.0,,,0.0,0.0,On,NEM,Hydro,,2016
,Flinders Island Power Station,F,TAS,13222.0,3673.0,,,2500.0,0.68,Off,Off-grid,Wind/Diesel,,2016
,George Town (Temp Diesel),F,TAS,31595.0,8776.0,,,6163.0,0.7,On,NEM,Diesel,,2016
,Gordon Hydro Power Station,F,TAS,5003528.0,1389869.0,,,152.0,0.0,On,NEM,Hydro,,2016
,John Butters Hydro Power Station,F,TAS,1344498.0,373472.0,,,203.0,0.0,On,NEM,Hydro,,2016
,King Island Power Station,F,TAS,46703.0,12973.0,,,4469.0,0.34,Off,Off-grid,Wind/Diesel,,2016
,Lake Echo Hydro Power Station,F,TAS,378203.0,105056.0,,,11.0,0.0,On,NEM,Hydro,,2016
,Lake Margaret Lower Hydro Power station,F,TAS,55477.0,15410.0,,,1.0,0.0,On,NEM,Hydro,,2016
,Lake Margaret Upper Hydro Power Station,F,TAS,152031.0,42231.0,,,3.0,0.0,On,NEM,Hydro,,2016
,Lemonthyme Hydro Power Station,F,TAS,810358.0,225099.0,,,36.0,0.0,On,NEM,Hydro,,2016
,Liapootah Hydro Power Station,F,TAS,1371491.0,380970.0,,,287.0,0.0,On,NEM,Hydro,,2016
,Mackintosh Hydro Power Station,F,TAS,970421.0,269561.0,,,280.0,0.0,On,NEM,Hydro,,2016
,Meadowbank Hydro Power Station,F,TAS,370684.0,102968.0,,,10009.0,0.1,On,NEM,Hydro,,2016
,Paloona Hydro Power Station,F,TAS,360020.0,100006.0,,,12.0,0.0,On,NEM,Hydro,,2016
,Parangana Hydro Power Station,F,TAS,7916.0,2199.0,,,0.0,0.0,On,NEM,Hydro,,2016
,Poatina Hydro Power Station,F,TAS,4523235.0,1256454.0,,,782.0,0.0,On,NEM,Hydro,,2016
,Port Latta (Temp Diesel),F,TAS,19236.0,5343.0,,,3887.0,0.73,On,NEM,Diesel,,2016
,Que River (Temp Diesel),F,TAS,23521.0,6534.0,,,5070.0,0.78,On,NEM,Diesel,,2016
,Reece Hydro Power Station,F,TAS,2736735.0,760204.0,,,1593.0,0.0,On,NEM,Hydro,,2016
,Repulse Hydro Power Station,F,TAS,455516.0,126532.0,,,6.0,0.0,On,NEM,Hydro,,2016
,Rowallan Hydro Power Station,F,TAS,105014.0,29171.0,,,0.0,0.0,On,NEM,Hydro,,2016
,Tamar Valley Power Station,F,TAS,2811111.0,780864.0,,,358853.0,0.46,On,NEM,Gas,,2016
,Tarraleah Hydro Power Station,F,TAS,1613976.0,448327.0,,,61.0,0.0,On,NEM,Hydro,,2016
,Tods Corner Hydro Power Station,F,TAS,9085.0,2524.0,,,3.0,0.0,On,NEM,Hydro,,2016
,Trevallyn Hydro Power Station,F,TAS,1372595.0,381276.0,,,44.0,0.0,On,NEM,Hydro,,2016
,Tribute Hydro Power Station,F,TAS,656992.0,182498.0,,,39.0,0.0,On,NEM,Hydro,,2016
,Tungatinah Hydro Power Station,F,TAS,1831827.0,508841.0,,,94.0,0.0,On,NEM,Hydro,,2016
,Wayatinah Hydro Power Station,F,TAS,799235.0,222010.0,,,4.0,0.0,On,NEM,Hydro,,2016
,Wilmot Hydro Power Station,F,TAS,371141.0,103095.0,,,28.0,0.0,On,NEM,Hydro,,2016
,Corporate Total,C,,32487196.0,9024221.0,,,410644.0,,,,,,2016
,Challicum Hills Wind Farm,F,VIC,491832.0,136620.0,,,223.0,0.0,On,NEM,Wind,,2016
,Clements Gap Wind Farm,F,SA,631683.0,175468.0,,,194.0,0.0,On,NEM,Wind,,2016
,Codrington Wind Farm,F,VIC,148019.0,41116.0,,,66.0,0.0,On,NEM,Wind,,2016
,Eildon Pondage Hydro,F,VIC,45476.0,12632.0,,,0.0,0.0,On,NEM,Hydro,,2016
,Glenmaggie Hydro,F,VIC,18037.0,5010.0,,,0.0,0.0,On,NEM,Hydro,,2016
