facility_code,facility_name,lat,lng,timestamp,power_value,emission_value,price_per_mwh,demand_mw,state,fuel_list
GERMCRK,German Creek,-22.928526,148.549097,2025-10-24T13:15:00,16.998,0.8146,137.316,20951.32,QLD,['Waste Coal Mine Gas']
GIRGSF,Girgarre,-26.2548,149.9867,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Solar']
GLENSF,Glenrowan,-36.464,146.221,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Solar']
GLRWNSF,Glenrowan West,-36.488083,146.146887,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Solar']
GNNDHSF,Gunnedah,-30.965469,150.367917,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,"['Solar', 'Solar']"
GOONUMSF,Goonumbla,-33.106413,148.099274,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
GORDON,Gordon,-42.740157,145.983375,2025-10-24T13:15:00,23.2145,0.0,137.316,20951.32,TAS,['Hydro']
GRANWF,Granville Harbour,-41.802,145.056,2025-10-24T13:15:00,16.92,0.0,137.316,20951.32,TAS,['Wind']
GSTONE,Gladstone,-23.848741,151.220787,2025-10-24T13:15:00,1039.8691,81.9635,137.316,20951.32,QLD,['Black Coal']
GULLRGWF,Gullen Range,-34.624512,149.458549,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Wind']
GUNNING,Gunning,-34.676361,149.66443,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Wind']
HAMISF,Hamilton,-20.468593,147.799484,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
HAUGHT1,Haughton,-19.732168,147.076137,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
HAYMSF,Hayman,-20.487516,147.744778,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
HD1WF,Hawkesdale,-38.148008,142.360925,2025-10-24T13:15:00,0.68,0.0,137.316,20951.32,VIC,['Wind']
HILLSTN,Hillston Sun,-33.532991,145.522279,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
HUMENSW,Hume,-36.106383,147.032263,2025-10-24T13:15:00,20.0,0.0,137.316,20951.32,NSW,['Hydro']
HUMEV,Hume,-36.106887,147.032572,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Hydro']
HUNTER,Hunter,-32.793406,151.478353,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Gas']
JEMALNG1,Jemalong,-33.388764,147.669375,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
JUNEESF,Junee,-34.81124,147.572099,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
KAREEYA,Kareeya,-17.766456,145.576884,2025-10-24T13:15:00,85.7,0.0,137.316,20951.32,QLD,['Hydro']
KIAMSF1,Kiamal,-35.018133,142.302953,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,"['Solar', 'Solar']"
KIATAWF,Kiata,-36.397693,141.746827,2025-10-24T13:15:00,5.2,0.0,137.316,20951.32,VIC,['Wind']
KOGANCK,Kogan Creek,-26.915285,150.748948,2025-10-24T13:15:00,0.0,11.1824,137.316,20951.32,QLD,['Black Coal']
LADBROKE,Ladbroke Grove,-37.456183,140.782699,2025-10-24T13:15:00,42.09,2.6402,137.316,20951.32,SA,['Gas']
LBBESS,Lake Bonney,-37.738787,140.384672,2025-10-24T13:15:00,12.6,0.0,137.316,20951.32,SA,"['Wind', 'Battery']"
LGAPWF1,Lincoln Gap,-32.546333,137.552763,2025-10-24T13:15:00,58.37,0.0,137.316,20951.32,SA,['Wind']
LILYVASF,Lilyvale,-23.070504,148.413865,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
LIMBESS,Limondale,-34.769354,143.559464,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
LIMOSF1,Limondale,-34.775502,143.508046,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
LKBONNY1,Lake Bonney,-37.760504,140.405541,2025-10-24T13:15:00,5.7158,0.0,137.316,20951.32,SA,"['Wind', 'Battery']"
LNGS,Laverton North,-37.841693,144.788006,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Gas']
LONSDALE,Lonsdale,-35.109718,138.490962,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,SA,['Diesel']
LOYYB,Loy Yang B,-38.253619,146.585593,2025-10-24T13:15:00,580.125,54.116,137.316,20951.32,VIC,['Brown Coal']
LRSF,Longreach,-23.455048,144.227917,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
MACARTH,Macarthur,-38.043483,142.179081,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Wind']
MANSLR,Manildra,-33.172831,148.71824,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
MARYRSF,Maryrorough,-27.708973,151.546869,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
MBAHNTH,Moranbah North,-21.978481,148.004809,2025-10-24T13:15:00,22.4,1.4537,137.316,20951.32,QLD,['Waste Coal Mine Gas']
MEADOWBK,Meadowbank,-42.610835,146.846388,2025-10-24T13:15:00,43.756,0.0,137.316,20951.32,TAS,['Hydro']
MILLMERN,Millmerran,-27.961657,151.28091,2025-10-24T13:15:00,814.7704,55.8136,137.316,20951.32,QLD,['Black Coal']
MINTARO,Mintaro,-33.903149,138.738797,2025-10-24T13:15:00,0.0854,0.0061,137.316,20951.32,SA,['Gas']
MLWF,Mortons Lane,-37.833186,142.465288,2025-10-24T13:15:00,0.675,0.0,137.316,20951.32,ACT,['Wind']
MLWF,Mortons Lane,-37.833186,142.465288,2025-10-24T13:15:00,0.675,0.0,137.316,20951.32,VIC,['Wind']
MOLNGSF1,Molong,-33.082578,148.900073,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
MOORAWF1,Moorabool,-37.739433,144.171985,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Wind']
MOREESF,Moree,-29.572607,149.861266,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
MOREESF,Moree,-29.572607,149.861266,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,SA,['Solar']
