facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year
Waubra Wind Farm,F,VIC,612417.0,,,1209.0,0.0,Wind,2017
Banimboola Hydro,F,VIC,3038.0,,,13.0,0.0,Hydro,2017
Bayswater Power Station,F,NSW,15944580.0,,,14161393.0,0.89,Black Coal,2017
Bogong Power Station,F,VIC,116333.0,,,873.0,0.0,Hydro,2017
Broken Hill Solar Plant,F,NSW,127565.0,,,356.0,0.0,Solar,2017
Burrendong Hydro,F,NSW,41502.0,,,43.0,0.0,Hydro,2017
Clover Hydro,F,VIC,70975.0,,,208.0,0.0,Hydro,2017
Coopers Cogeneration,F,SA,25382.0,,,19096.0,0.75,Gas,2017
Copeton Hydro,F,NSW,28087.0,,,57.0,0.0,Hydro,2017
Dartmouth Hydro,F,VIC,44398.0,,,255.0,,Hydro,2017
Eildon Hydro,F,VIC,102961.0,,,931.0,0.0,Hydro,2017
Glenbawn Hydro,F,NSW,4143.0,,,7.0,0.0,Hydro,2017
Glenorchy Landfill Generation,F,TAS,9492.0,,,511.0,0.05,Landfill Gas,2017
Hallett (Stage 1) Wind Farm,F,SA,285598.0,,,376.0,0.0,Wind,2017
Hallett (Stage 2) Wind Farm,F,SA,224577.0,,,291.0,0.0,Wind,2017
Hallett (Stage 4) Wind Farm,F,SA,395840.0,,,732.0,0.0,Wind,2017
Hallett (Stage 5) Wind Farm,F,SA,122298.0,,,463.0,0.0,Wind,2017
Hobart Landfill Generation,F,TAS,2472.0,,,217.0,0.09,Landfill Gas,2017
Hunter Valley Gas Turbines,F,NSW,642.0,,,1896.0,1.52,Gas,2017
Kemps Creek Landfill Generation,F,NSW,8853.0,,,395.0,0.04,Landfill Gas,2017
Kincumber Landfill Generation,F,NSW,2264.0,,,197.0,0.08,Landfill Gas,2017
Liddell Power Station,F,NSW,9510036.0,,,8855569.0,0.93,Black Coal,2017
Loy Yang Power Station and Mine,F,VIC,15885288.0,,,18963597.0,1.18,Brown Coal,2017
Macarthur Wind Farm,F,VIC,894077.0,,,3537.0,0.0,Wind,2017
McKay Creek Hydro,F,VIC,139434.0,,,4895.0,0.0,Hydro,2017
Moranbah Power Station,F,QLD,83454.0,,,45587.0,0.54,Coal Seam Methane,2017
Nyngan Solar Plant,F,NSW,232188.0,,,927.0,0.0,Solar,2017
Oaklands Hill Wind Farm,F,VIC,170182.0,,,856.0,0.0,Wind,2017
Pindari Hydro,F,NSW,7196.0,,,28.0,0.0,Hydro,2017
Rockingham Landfill Generation,F,WA,21183.0,,,1088.0,0.05,Landfill Gas,2017
Rubicon Hydro Scheme,F,VIC,48938.0,,,39.0,,Hydro,2017
Shoalhaven Landfill Generation,F,NSW,5717.0,,,247.0,0.04,Landfill Gas,2017
Somerton Power Station,F,VIC,29144.0,,,23877.0,0.75,Gas,2017
Torrens Island Power Station,F,SA,2883881.0,,,1643453.0,0.56,Gas,2017
Wattle Point Wind Farm,F,SA,233053.0,,,264.0,0.0,Wind,2017
Werribee Biogas Generator,F,VIC,54870.0,,,3913.0,0.05,Biogas,2017
West Kiewa Hydro,F,VIC,197991.0,,,1040.0,0.0,Hydro,2017
Wilpena Pound Solar Generation,F,SA,967.0,,,704.0,0.73,Solar,2017
Woy Woy Landfill Generation,F,NSW,8216.0,,,489.0,0.06,Landfill Gas,2017
Yarrawonga Hydro,F,VIC,31445.0,,,31.0,0.0,Hydro,2017
Alinta Pinjarra Generation Facility,F,WA,2271889.0,,,1509754.0,0.66,Gas,2017
Alinta Wagerup Generation Facility,F,WA,139462.0,,,95114.0,0.65,Gas,2017
Diamantina Power Station,F,QLD,1649300.0,,,667203.0,0.4,Gas,2017
Emu Downs Wind Farm,F,WA,258824.0,,,345.0,0.0,Wind,2017
Braemar 2 Power Station,F,QLD,460482.0,,,278242.0,0.6,Coal Seam Methane,2017
Karratha Power Station,F,WA,345471.0,,,187036.0,0.54,Gas,2017
Osborne facility,F,SA,966933.0,,,399217.0,0.41,Gas,2017
Facility,F,VIC,256544.0,,,1098.0,,Wind,2017
Smithfield Power Partnership,F,NSW,979394.0,,,462404.0,0.47,Gas,2017
Yarnima Power Station,F,WA,707273.0,,,302918.0,0.43,Gas,2017
Bluewaters Power 1,F,WA,1829005.0,,,1633781.0,0.89,Black Coal,2017
Bluewaters Power 2,F,WA,833636.0,,,728221.0,0.87,Black Coal,2017
Enwave Central Park Pty Ltd,F,NSW,401.0,,,2417.0,6.03,Gas,2017
Enwave Mascot Pty Ltd,F,NSW,28055.0,,,16864.0,0.55,Gas,2017
Callide B Power Station,F,QLD,4778347.0,,,4427588.0,0.92,Black Coal,2017
Kogan Creek Power Station,F,QLD,5924064.0,,,4851366.0,0.82,Black Coal,2017
Wivenhoe Power Station,F,QLD,66170.0,,,90668.0,0.0,Hydro,2017
Canunda Wind Farm,F,SA,117988.0,,,120.0,0.0,Wind,2017
Broadwater Power Plant,F,NSW,214876.0,,,8188.0,0.03,Bagasse,2017
Condong Power Plant,F,NSW,178028.0,,,8810.0,0.04,Bagasse,2017
Facility,F,VIC,75801.0,,,108.0,,Wind,2017
Appin CSM Power Station,F,NSW,64535.0,,,46607.0,0.71,Coal Seam Methane,2017
Ardyaloon Remote Power Station,F,WA,1847.0,,,1337.0,0.72,Liquid Fuel,2017
Beagle Bay Remote Power Station,F,WA,1741.0,,,1261.0,0.72,Liquid Fuel,2017
Belrose LFG Power Station,F,NSW,5514.0,,,366.0,0.07,Landfill Gas,2017
Berwick LFG Power Station,F,VIC,15979.0,,,1527.0,0.06,Landfill Gas,2017
Bidyadanga Remote Power Station,F,WA,2898.0,,,2130.0,0.73,Liquid Fuel,2017
Broadmeadows LFG Power Station,F,VIC,17448.0,,,1212.0,0.06,Landfill Gas,2017
Brooklyn LFG Power Station,F,VIC,12765.0,,,802.0,0.06,Landfill Gas,2017
Broome LNG Power Station,F,WA,138547.0,,,73718.0,0.53,Gas,2017
Browns Plains LFG Power Station,F,QLD,13435.0,,,854.0,0.06,Landfill Gas,2017
Clayton LFG Power Station,F,VIC,78167.0,,,4716.0,0.06,Landfill Gas,2017
Coober Pedy Remote Power Station,F,SA,12588.0,,,8614.0,0.68,Diesel,2017
Corio LFG Power Station,F,VIC,7267.0,,,469.0,0.06,Landfill Gas,2017
Cullerin Range Wind Farm,F,NSW,98466.0,,,110.0,0.0,Wind,2017
Derby LNG Power Station,F,WA,34239.0,,,20130.0,0.59,Gas,2017
Djarindjin Remote Power Station,F,WA,1820.0,,,1317.0,0.72,Liquid Fuel,2017
Eastern Creek LFG Power Station,F,NSW,12046.0,,,700.0,0.06,Landfill Gas,2017
Fitzroy Crossing LNG Power Station,F,WA,14174.0,,,8379.0,0.59,Gas,2017
Gascoyne Junction Remote Power Station,F,WA,789.0,,,622.0,0.79,Liquid Fuel,2017
German Creek CMM Power Station,F,QLD,319786.0,,,166860.0,0.52,Waste Coal Mine Gas,2017
Glennies Creek Power Station,F,NSW,78624.0,,,40320.0,0.51,Waste Coal Mine Gas,2017
Grange Avenue LFG Power Station,F,NSW,6607.0,,,394.0,0.06,Landfill Gas,2017
Grosvenor I WCMG Power Station,F,QLD,45806.0,,,25480.0,0.56,Waste Coal Mine Gas,2017
Halls Creek LNG Power Station,F,WA,11465.0,,,7302.0,0.64,Gas,2017
Jacks Gully LFG Power Station,F,NSW,13169.0,,,842.0,0.06,Landfill Gas,2017
Kalamunda Power Station,F,WA,22.0,,,6.0,0.23,Diesel,2017
Laverton Remote Power Station,F,WA,3643.0,,,2620.0,0.72,Liquid Fuel,2017
Leonora Remote Power Station,F,WA,8414.0,,,6291.0,0.75,Gas,2017
Looma Power Station,F,WA,2605.0,,,2074.0,0.8,Diesel,2017
Lucas Heights 1 LFG Power Station,F,NSW,16262.0,,,1043.0,0.06,Landfill Gas,2017
Lucas Heights 2 LFG Power Station,F,NSW,97163.0,,,6150.0,0.06,Landfill Gas,2017
McArthur River Power Station,F,NT,247704.0,,,122205.0,0.49,Gas,2017
Menzies Remote Power Station,F,WA,627.0,,,517.0,0.82,Liquid Fuel,2017
Moranbah North CMM Power Station,F,QLD,490229.0,,,260208.0,0.53,Waste Coal Mine Gas,2017
Mugga Lane LFG Power Station,F,ACT,24575.0,,,1603.0,0.07,Landfill Gas,2017
Oaky Creek I Power Station,F,QLD,127137.0,,,65262.0,0.51,Waste Coal Mine Gas,2017
Oaky Creek II Power Station,F,QLD,102226.0,,,53567.0,0.52,Waste Coal Mine Gas,2017
Pine Creek A Power Station,F,NT,181016.0,,,95430.0,0.53,Gas,2017
Red Hill Power Station,F,WA,27766.0,,,1579.0,0.06,Landfill Gas,2017
Roghan Road LFG Power Station,F,QLD,997.0,,,107.0,0.06,Landfill Gas,2017
Springvale LFG Power Station,F,VIC,14282.0,,,924.0,0.06,Landfill Gas,2017
Tahmoor Power Station,F,NSW,28237.0,,,16215.0,0.57,Waste Coal Mine Gas,2017
Tamala Park Power Station,F,WA,40344.0,,,2558.0,0.06,Landfill Gas,2017
Tower CSM Power Station,F,NSW,269090.0,,,185576.0,0.69,Coal Seam Methane,2017
Warmun Remote Power Station,F,WA,2753.0,,,2046.0,0.74,Liquid Fuel,2017
West Belconnen LFG Power Station,F,ACT,2175.0,,,165.0,0.07,Landfill Gas,2017
Wingfield 1 LFG Power Station,F,SA,14991.0,,,952.0,0.06,Landfill Gas,2017
Wingfield 2 LFG Power Station,F,SA,17258.0,,,1095.0,0.06,Landfill Gas,2017
Wonthaggi Wind Farm,F,VIC,3033.0,,,9.0,0.0,Wind,2017
Cue Town Powerstation,F,WA,2667.0,,,1846.0,0.69,Liquid Fuel,2017
Meekatharra Town Powerstation,F,WA,7638.0,,,5235.0,0.69,Liquid Fuel,2017
Mt Magnet Town Powerstation,F,WA,3878.0,,,2118.0,0.55,Gas,2017
Norseman Gold Power Station,F,WA,8276.0,,,6283.0,0.76,Diesel,2017
Sandstone Town Powerstation,F,WA,701.0,,,539.0,0.77,Liquid Fuel,2017
Wiluna Town Powerstation,F,WA,2367.0,,,1651.0,0.7,Liquid Fuel,2017
Yalgoo Town Powerstation,F,WA,1078.0,,,786.0,0.73,Liquid Fuel,2017
Collgar Wind Farm,F,WA,696306.0,,,826.0,0.0,Wind,2017
Boco Rock Wind Farm Pty Ltd,F,NSW,349302.0,,,1045.0,0.0,Wind,2017
