Code,Label,Year,Total number of businesses,Technicians and trades workers (no.),Total persons employed aged 15 years and over (no.),Labourers (no.),"Electricity, gas, water and waste services (no.)","Electricity, gas, water and waste services (%)",lat,lng
AUS,Australia,2011,,,10058325,,,1.1,-25.274398,133.775136
AUS,Australia,2016,,4534,10683844,3862,,1.1,-25.274398,133.775136
AUS,Australia,2017,,4742,,3853,,,-25.274398,133.775136
AUS,Australia,2018,,4811,,4119,,,-25.274398,133.775136
AUS,Australia,2019,,4113,,3760,,,-25.274398,133.775136
AUS,Australia,2020,2314448,3090,,2717,7604,,-25.274398,133.775136
AUS,Australia,2021,2402254,1387,12049410,1305,7961,1.1,-25.274398,133.775136
AUS,Australia,2022,2539724,,,,8307,,-25.274398,133.775136
AUS,Australia,2023,2589873,,,,8582,,-25.274398,133.775136
AUS,Australia,2024,2662998,,,,8767,,-25.274398,133.775136
1,NSW,2011,,,3138332,,,1.1,-31.2532183,146.921099
1,NSW,2016,,1295,3380336,1160,,0.9,-31.2532183,146.921099
1,NSW,2017,,1241,,1090,,,-31.2532183,146.921099
1,NSW,2018,,1235,,1205,,,-31.2532183,146.921099
1,NSW,2019,,1097,,1125,,,-31.2532183,146.921099
1,NSW,2020,786246,860,,784,2466,,-31.2532183,146.921099
1,NSW,2021,817603,398,3684158,413,2606,1.0,-31.2532183,146.921099
1,NSW,2022,854727,,,,2739,,-31.2532183,146.921099
1,NSW,2023,870951,,,,2787,,-31.2532183,146.921099
1,NSW,2024,896560,,,,2835,,-31.2532183,146.921099
2,VIC,2011,,,2530628,,,1.1,-36.9847807,143.3906074
2,VIC,2016,,869,2736127,703,,1.1,-36.9847807,143.3906074
2,VIC,2017,,877,,727,,,-36.9847807,143.3906074
2,VIC,2018,,877,,733,,,-36.9847807,143.3906074
2,VIC,2019,,685,,617,,,-36.9847807,143.3906074
2,VIC,2020,630992,569,,459,2129,,-36.9847807,143.3906074
2,VIC,2021,655507,242,3162893,214,2234,1.1,-36.9847807,143.3906074
2,VIC,2022,713211,,,,2320,,-36.9847807,143.3906074
2,VIC,2023,719367,,,,2426,,-36.9847807,143.3906074
2,VIC,2024,737915,,,,2489,,-36.9847807,143.3906074
3,QLD,2011,,,2039276,,,1.2,-22.575197,144.0847926
3,QLD,2016,,1356,2136450,1206,,1.1,-22.575197,144.0847926
3,QLD,2017,,1468,,1178,,,-22.575197,144.0847926
3,QLD,2018,,1443,,1185,,,-22.575197,144.0847926
3,QLD,2019,,1290,,1148,,,-22.575197,144.0847926
3,QLD,2020,443911,904,,837,1400,,-22.575197,144.0847926
3,QLD,2021,460813,439,2444090,377,1451,1.2,-22.575197,144.0847926
3,QLD,2022,482302,,,,1530,,-22.575197,144.0847926
3,QLD,2023,497025,,,,1601,,-22.575197,144.0847926
3,QLD,2024,510444,,,,1632,,-22.575197,144.0847926
4,SA,2011,,,739359,,,1.3,-30.0002315,136.2091547
4,SA,2016,,251,746105,251,,1.2,-30.0002315,136.2091547
4,SA,2017,,259,,266,,,-30.0002315,136.2091547
4,SA,2018,,272,,256,,,-30.0002315,136.2091547
4,SA,2019,,218,,250,,,-30.0002315,136.2091547
4,SA,2020,145383,153,,175,581,,-30.0002315,136.2091547
4,SA,2021,149462,73,839414,73,599,1.3,-30.0002315,136.2091547
4,SA,2022,156131,,,,617,,-30.0002315,136.2091547
4,SA,2023,159604,,,,616,,-30.0002315,136.2091547
4,SA,2024,164454,,,,639,,-30.0002315,136.2091547
5,WA,2011,,,1097879,,,1.1,-27.6728168,121.6283098
5,WA,2016,,542,1157735,377,,1.2,-27.6728168,121.6283098
5,WA,2017,,675,,388,,,-27.6728168,121.6283098
5,WA,2018,,739,,532,,,-27.6728168,121.6283098
5,WA,2019,,614,,419,,,-27.6728168,121.6283098
5,WA,2020,222944,476,,337,771,,-27.6728168,121.6283098
5,WA,2021,230280,184,1306249,167,791,1.2,-27.6728168,121.6283098
5,WA,2022,239858,,,,785,,-27.6728168,121.6283098
5,WA,2023,246673,,,,826,,-27.6728168,121.6283098
5,WA,2024,255396,,,,859,,-27.6728168,121.6283098
6,TAS,2011,,,217297,,,1.7,-42.0409059,146.8087322
6,TAS,2016,,100,216584,101,,1.6,-42.0409059,146.8087322
6,TAS,2017,,96,,124,,,-42.0409059,146.8087322
6,TAS,2018,,103,,149,,,-42.0409059,146.8087322
6,TAS,2019,,99,,114,,,-42.0409059,146.8087322
6,TAS,2020,39285,44,,73,118,,-42.0409059,146.8087322
6,TAS,2021,40723,26,254722,31,121,1.8,-42.0409059,146.8087322
6,TAS,2022,42413,,,,127,,-42.0409059,146.8087322
6,TAS,2023,43423,,,,137,,-42.0409059,146.8087322
6,TAS,2024,44029,,,,136,,-42.0409059,146.8087322
7,NT,2011,,,98479,,,1.3,-19.4914108,132.5509603
7,NT,2016,,47,102708,20,,1.6,-19.4914108,132.5509603
7,NT,2017,,39,,29,,,-19.4914108,132.5509603
7,NT,2018,,58,,22,,,-19.4914108,132.5509603
7,NT,2019,,46,,28,,,-19.4914108,132.5509603
7,NT,2020,14547,27,,21,54,,-19.4914108,132.5509603
7,NT,2021,14943,5,107035,3,58,1.5,-19.4914108,132.5509603
7,NT,2022,15731,,,,63,,-19.4914108,132.5509603
7,NT,2023,16105,,,,58,,-19.4914108,132.5509603
7,NT,2024,16380,,,,58,,-19.4914108,132.5509603
8,ACT,2011,,,195885,,,0.8,-35.4734679,149.0123679
8,ACT,2016,,55,205628,37,,0.7,-35.4734679,149.0123679
8,ACT,2017,,58,,31,,,-35.4734679,149.0123679
8,ACT,2018,,56,,26,,,-35.4734679,149.0123679
8,ACT,2019,,54,,41,,,-35.4734679,149.0123679
8,ACT,2020,29724,48,,25,82,,-35.4734679,149.0123679
8,ACT,2021,31490,13,248603,17,97,0.8,-35.4734679,149.0123679
8,ACT,2022,33813,,,,120,,-35.4734679,149.0123679
8,ACT,2023,35086,,,,127,,-35.4734679,149.0123679
8,ACT,2024,36316,,,,112,,-35.4734679,149.0123679
9,Other Territories,2011,,,1182,,,2.6,-25.274398,133.775136
9,Other Territories,2016,,,2168,,,2.0,-25.274398,133.775136
9,Other Territories,2017,,,,,,,-25.274398,133.775136
9,Other Territories,2018,,,,,,,-25.274398,133.775136
9,Other Territories,2019,,,,,,,-25.274398,133.775136
9,Other Territories,2020,1416,,,,3,,-25.274398,133.775136
9,Other Territories,2021,1433,,2251,,4,2.2,-25.274398,133.775136
9,Other Territories,2022,1538,,,,6,,-25.274398,133.775136
9,Other Territories,2023,1639,,,,4,,-25.274398,133.775136
9,Other Territories,2024,1504,,,,7,,-25.274398,133.775136
1GSYD,Greater Sydney,2011,,,2063271,,,0.9,-33.8817547,150.8609358
1GSYD,Greater Sydney,2016,,728,2272715,608,,0.8,-33.8817547,150.8609358
1GSYD,Greater Sydney,2017,,708,,584,,,-33.8817547,150.8609358
1GSYD,Greater Sydney,2018,,702,,640,,,-33.8817547,150.8609358
1GSYD,Greater Sydney,2019,,624,,657,,,-33.8817547,150.8609358
1GSYD,Greater Sydney,2020,552343,500,,426,1577,,-33.8817547,150.8609358
1GSYD,Greater Sydney,2021,574118,246,2430704,226,1681,0.8,-33.8817547,150.8609358
1GSYD,Greater Sydney,2022,598499,,,,1759,,-33.8817547,150.8609358
1GSYD,Greater Sydney,2023,609136,,,,1799,,-33.8817547,150.8609358
1GSYD,Greater Sydney,2024,630204,,,,1874,,-33.8817547,150.8609358
1RNSW,Rest of NSW,2011,,,1071376,,,1.5,-31.2532183,146.921099
1RNSW,Rest of NSW,2016,,565,1104163,551,,1.3,-31.2532183,146.921099
1RNSW,Rest of NSW,2017,,531,,501,,,-31.2532183,146.921099
1RNSW,Rest of NSW,2018,,532,,572,,,-31.2532183,146.921099
1RNSW,Rest of NSW,2019,,477,,469,,,-31.2532183,146.921099
1RNSW,Rest of NSW,2020,227094,358,,360,821,,-31.2532183,146.921099
1RNSW,Rest of NSW,2021,236986,156,1250938,194,859,1.2,-31.2532183,146.921099
1RNSW,Rest of NSW,2022,249944,,,,923,,-31.2532183,146.921099
1RNSW,Rest of NSW,2023,255184,,,,926,,-31.2532183,146.921099
1RNSW,Rest of NSW,2024,259896,,,,911,,-31.2532183,146.921099
2GMEL,Greater Melbourne,2011,,,1927929,,,1.0,-37.8136276,144.9630576
2GMEL,Greater Melbourne,2016,,647,2115493,468,,1.0,-37.8136276,144.9630576
2GMEL,Greater Melbourne,2017,,620,,458,,,-37.8136276,144.9630576
2GMEL,Greater Melbourne,2018,,651,,501,,,-37.8136276,144.9630576
2GMEL,Greater Melbourne,2019,,492,,398,,,-37.8136276,144.9630576
2GMEL,Greater Melbourne,2020,492793,423,,333,1607,,-37.8136276,144.9630576
2GMEL,Greater Melbourne,2021,512308,163,2444991,143,1717,1.0,-37.8136276,144.9630576
2GMEL,Greater Melbourne,2022,561880,,,,1779,,-37.8136276,144.9630576
2GMEL,Greater Melbourne,2023,564638,,,,1880,,-37.8136276,144.9630576
2GMEL,Greater Melbourne,2024,581647,,,,1937,,-37.8136276,144.9630576
2RVIC,Rest of Vic.,2011,,,600188,,,1.5,-36.9847807,143.3906074
2RVIC,Rest of Vic.,2016,,222,618584,235,,1.5,-36.9847807,143.3906074
2RVIC,Rest of Vic.,2017,,257,,268,,,-36.9847807,143.3906074
2RVIC,Rest of Vic.,2018,,232,,233,,,-36.9847807,143.3906074
2RVIC,Rest of Vic.,2019,,192,,224,,,-36.9847807,143.3906074
2RVIC,Rest of Vic.,2020,134999,144,,126,464,,-36.9847807,143.3906074
2RVIC,Rest of Vic.,2021,140183,71,716097,65,470,1.4,-36.9847807,143.3906074
2RVIC,Rest of Vic.,2022,148435,,,,499,,-36.9847807,143.3906074
2RVIC,Rest of Vic.,2023,151464,,,,498,,-36.9847807,143.3906074
2RVIC,Rest of Vic.,2024,153084,,,,506,,-36.9847807,143.3906074
3GBRI,Greater Brisbane,2011,,,1010618,,,1.2,-27.4704528,153.0260341
3GBRI,Greater Brisbane,2016,,571,1073783,515,,1.1,-27.4704528,153.0260341
3GBRI,Greater Brisbane,2017,,612,,472,,,-27.4704528,153.0260341
3GBRI,Greater Brisbane,2018,,601,,548,,,-27.4704528,153.0260341
3GBRI,Greater Brisbane,2019,,590,,491,,,-27.4704528,153.0260341
3GBRI,Greater Brisbane,2020,204461,390,,388,673,,-27.4704528,153.0260341
3GBRI,Greater Brisbane,2021,211869,175,1244782,157,689,1.2,-27.4704528,153.0260341
3GBRI,Greater Brisbane,2022,221251,,,,745,,-27.4704528,153.0260341
3GBRI,Greater Brisbane,2023,228196,,,,782,,-27.4704528,153.0260341
3GBRI,Greater Brisbane,2024,235333,,,,816,,-27.4704528,153.0260341
3RQLD,Rest of Qld,2011,,,1024829,,,1.2,-22.575197,144.0847926
3RQLD,Rest of Qld,2016,,783,1059524,694,,1.1,-22.575197,144.0847926
3RQLD,Rest of Qld,2017,,857,,699,,,-22.575197,144.0847926
3RQLD,Rest of Qld,2018,,846,,637,,,-22.575197,144.0847926
3RQLD,Rest of Qld,2019,,699,,658,,,-22.575197,144.0847926
3RQLD,Rest of Qld,2020,237209,518,,448,701,,-22.575197,144.0847926
3RQLD,Rest of Qld,2021,246831,261,1196051,223,736,1.2,-22.575197,144.0847926
3RQLD,Rest of Qld,2022,259210,,,,757,,-22.575197,144.0847926
3RQLD,Rest of Qld,2023,266622,,,,790,,-22.575197,144.0847926
3RQLD,Rest of Qld,2024,273050,,,,780,,-22.575197,144.0847926
4GADE,Greater Adelaide,2011,,,576818,,,1.4,-34.9284989,138.6007456
4GADE,Greater Adelaide,2016,,186,587057,175,,1.3,-34.9284989,138.6007456
4GADE,Greater Adelaide,2017,,194,,185,,,-34.9284989,138.6007456
4GADE,Greater Adelaide,2018,,201,,196,,,-34.9284989,138.6007456
4GADE,Greater Adelaide,2019,,173,,176,,,-34.9284989,138.6007456
4GADE,Greater Adelaide,2020,109522,114,,117,373,,-34.9284989,138.6007456
4GADE,Greater Adelaide,2021,112975,56,670956,46,394,1.3,-34.9284989,138.6007456
4GADE,Greater Adelaide,2022,118750,,,,406,,-34.9284989,138.6007456
4GADE,Greater Adelaide,2023,121704,,,,412,,-34.9284989,138.6007456
4GADE,Greater Adelaide,2024,126236,,,,427,,-34.9284989,138.6007456
4RSAU,Rest of SA,2011,,,161623,,,1.2,-30.0002315,136.2091547
4RSAU,Rest of SA,2016,,62,158312,76,,1.1,-30.0002315,136.2091547
4RSAU,Rest of SA,2017,,68,,75,,,-30.0002315,136.2091547
4RSAU,Rest of SA,2018,,70,,62,,,-30.0002315,136.2091547
4RSAU,Rest of SA,2019,,38,,76,,,-30.0002315,136.2091547
4RSAU,Rest of SA,2020,35054,34,,62,187,,-30.0002315,136.2091547
4RSAU,Rest of SA,2021,35717,14,167723,29,185,1.2,-30.0002315,136.2091547
4RSAU,Rest of SA,2022,36696,,,,186,,-30.0002315,136.2091547
4RSAU,Rest of SA,2023,37143,,,,185,,-30.0002315,136.2091547
4RSAU,Rest of SA,2024,37526,,,,198,,-30.0002315,136.2091547
5GPER,Greater Perth,2011,,,857631,,,1.1,-31.9513993,115.8616783
5GPER,Greater Perth,2016,,413,920201,280,,1.1,-31.9513993,115.8616783
5GPER,Greater Perth,2017,,530,,291,,,-31.9513993,115.8616783
5GPER,Greater Perth,2018,,589,,400,,,-31.9513993,115.8616783
5GPER,Greater Perth,2019,,509,,309,,,-31.9513993,115.8616783
5GPER,Greater Perth,2020,176534,388,,257,569,,-31.9513993,115.8616783
5GPER,Greater Perth,2021,182910,143,1058890,135,584,1.1,-31.9513993,115.8616783
5GPER,Greater Perth,2022,190788,,,,586,,-31.9513993,115.8616783
5GPER,Greater Perth,2023,196606,,,,630,,-31.9513993,115.8616783
5GPER,Greater Perth,2024,204587,,,,664,,-31.9513993,115.8616783
5RWAU,Rest of WA,2011,,,237324,,,1.3,-27.6728168,121.6283098
5RWAU,Rest of WA,2016,,125,235428,101,,1.3,-27.6728168,121.6283098
5RWAU,Rest of WA,2017,,147,,94,,,-27.6728168,121.6283098
5RWAU,Rest of WA,2018,,144,,134,,,-27.6728168,121.6283098
5RWAU,Rest of WA,2019,,105,,107,,,-27.6728168,121.6283098
5RWAU,Rest of WA,2020,45316,85,,73,177,,-27.6728168,121.6283098
5RWAU,Rest of WA,2021,46343,34,245471,30,184,1.4,-27.6728168,121.6283098
5RWAU,Rest of WA,2022,48103,,,,178,,-27.6728168,121.6283098
5RWAU,Rest of WA,2023,49033,,,,174,,-27.6728168,121.6283098
5RWAU,Rest of WA,2024,49813,,,,172,,-27.6728168,121.6283098
6GHOB,Greater Hobart,2011,,,96873,,,2.1,-42.8826055,147.3257196
6GHOB,Greater Hobart,2016,,32,98886,29,,2.0,-42.8826055,147.3257196
6GHOB,Greater Hobart,2017,,46,,38,,,-42.8826055,147.3257196
6GHOB,Greater Hobart,2018,,33,,43,,,-42.8826055,147.3257196
6GHOB,Greater Hobart,2019,,41,,43,,,-42.8826055,147.3257196
6GHOB,Greater Hobart,2020,16834,17,,22,45,,-42.8826055,147.3257196
6GHOB,Greater Hobart,2021,17565,9,118720,11,50,2.2,-42.8826055,147.3257196
6GHOB,Greater Hobart,2022,18242,,,,51,,-42.8826055,147.3257196
6GHOB,Greater Hobart,2023,18869,,,,52,,-42.8826055,147.3257196
6GHOB,Greater Hobart,2024,19167,,,,52,,-42.8826055,147.3257196
6RTAS,Rest of Tas.,2011,,,120047,,,1.3,-42.0409059,146.8087322
6RTAS,Rest of Tas.,2016,,65,117399,73,,1.3,-42.0409059,146.8087322
6RTAS,Rest of Tas.,2017,,51,,88,,,-42.0409059,146.8087322
6RTAS,Rest of Tas.,2018,,70,,105,,,-42.0409059,146.8087322
6RTAS,Rest of Tas.,2019,,56,,70,,,-42.0409059,146.8087322
6RTAS,Rest of Tas.,2020,22294,30,,48,62,,-42.0409059,146.8087322
6RTAS,Rest of Tas.,2021,23007,17,135680,26,60,1.4,-42.0409059,146.8087322
6RTAS,Rest of Tas.,2022,24040,,,,66,,-42.0409059,146.8087322
6RTAS,Rest of Tas.,2023,24399,,,,74,,-42.0409059,146.8087322
6RTAS,Rest of Tas.,2024,24738,,,,76,,-42.0409059,146.8087322
7GDAR,Greater Darwin,2011,,,63043,,,1.5,-12.4637333,130.8444446
7GDAR,Greater Darwin,2016,,39,71358,13,,1.8,-12.4637333,130.8444446
7GDAR,Greater Darwin,2017,,27,,22,,,-12.4637333,130.8444446
7GDAR,Greater Darwin,2018,,49,,10,,,-12.4637333,130.8444446
7GDAR,Greater Darwin,2019,,38,,15,,,-12.4637333,130.8444446
7GDAR,Greater Darwin,2020,10598,22,,20,37,,-12.4637333,130.8444446
7GDAR,Greater Darwin,2021,10895,3,74631,3,43,1.7,-12.4637333,130.8444446
7GDAR,Greater Darwin,2022,11550,,,,47,,-12.4637333,130.8444446
7GDAR,Greater Darwin,2023,11900,,,,40,,-12.4637333,130.8444446
7GDAR,Greater Darwin,2024,12213,,,,41,,-12.4637333,130.8444446
7RNTE,Rest of NT,2011,,,34770,,,1.0,-19.4914108,132.5509603
7RNTE,Rest of NT,2016,,5,30754,4,,1.1,-19.4914108,132.5509603
7RNTE,Rest of NT,2017,,11,,4,,,-19.4914108,132.5509603
7RNTE,Rest of NT,2018,,12,,7,,,-19.4914108,132.5509603
7RNTE,Rest of NT,2019,,8,,13,,,-19.4914108,132.5509603
7RNTE,Rest of NT,2020,3657,8,,8,11,,-19.4914108,132.5509603
7RNTE,Rest of NT,2021,3769,3,31846,3,10,1.0,-19.4914108,132.5509603
7RNTE,Rest of NT,2022,3890,,,,10,,-19.4914108,132.5509603
7RNTE,Rest of NT,2023,3912,,,,13,,-19.4914108,132.5509603
7RNTE,Rest of NT,2024,3884,,,,13,,-19.4914108,132.5509603
101,Capital Region,2011,,,94668,,,1.5,-25.274398,133.775136
101,Capital Region,2016,,44,97338,40,,1.3,-25.274398,133.775136
101,Capital Region,2017,,45,,36,,,-25.274398,133.775136
101,Capital Region,2018,,54,,46,,,-25.274398,133.775136
101,Capital Region,2019,,45,,26,,,-25.274398,133.775136
101,Capital Region,2020,21264,27,,20,74,,-25.274398,133.775136
101,Capital Region,2021,22078,11,111423,11,78,1.4,-25.274398,133.775136
101,Capital Region,2022,23278,,,,89,,-25.274398,133.775136
101,Capital Region,2023,23806,,,,96,,-25.274398,133.775136
101,Capital Region,2024,24126,,,,93,,-25.274398,133.775136
102,Central Coast,2011,,,131014,,,1.4,-33.2319648,151.21729
102,Central Coast,2016,,108,139595,65,,1.1,-33.2319648,151.21729
102,Central Coast,2017,,82,,75,,,-33.2319648,151.21729
102,Central Coast,2018,,89,,79,,,-33.2319648,151.21729
102,Central Coast,2019,,57,,77,,,-33.2319648,151.21729
102,Central Coast,2020,23380,62,,57,87,,-33.2319648,151.21729
102,Central Coast,2021,24487,18,150834,23,86,1.0,-33.2319648,151.21729
102,Central Coast,2022,25681,,,,93,,-33.2319648,151.21729
102,Central Coast,2023,26297,,,,91,,-33.2319648,151.21729
102,Central Coast,2024,26778,,,,91,,-33.2319648,151.21729
103,Central West,2011,,,85665,,,1.6,-25.274398,133.775136
103,Central West,2016,,56,86288,44,,1.3,-25.274398,133.775136
103,Central West,2017,,59,,49,,,-25.274398,133.775136
103,Central West,2018,,38,,54,,,-25.274398,133.775136
103,Central West,2019,,47,,38,,,-25.274398,133.775136
103,Central West,2020,20073,31,,34,65,,-25.274398,133.775136
103,Central West,2021,20691,9,95519,20,63,1.2,-25.274398,133.775136
103,Central West,2022,21849,,,,66,,-25.274398,133.775136
103,Central West,2023,22215,,,,69,,-25.274398,133.775136
103,Central West,2024,22310,,,,58,,-25.274398,133.775136
104,Coffs Harbour - Grafton,2011,,,50534,,,1.1,-30.2962013,153.1138924
104,Coffs Harbour - Grafton,2016,,37,52076,25,,0.9,-30.2962013,153.1138924
104,Coffs Harbour - Grafton,2017,,30,,30,,,-30.2962013,153.1138924
104,Coffs Harbour - Grafton,2018,,31,,28,,,-30.2962013,153.1138924
104,Coffs Harbour - Grafton,2019,,17,,19,,,-30.2962013,153.1138924
104,Coffs Harbour - Grafton,2020,10920,14,,21,30,,-30.2962013,153.1138924
104,Coffs Harbour - Grafton,2021,11428,13,59192,3,31,0.9,-30.2962013,153.1138924
104,Coffs Harbour - Grafton,2022,11976,,,,34,,-30.2962013,153.1138924
104,Coffs Harbour - Grafton,2023,12182,,,,39,,-30.2962013,153.1138924
104,Coffs Harbour - Grafton,2024,12332,,,,35,,-30.2962013,153.1138924
105,Far West and Orana,2011,,,48086,,,1.6,-34.9919426,117.8562572
105,Far West and Orana,2016,,16,46712,29,,1.3,-34.9919426,117.8562572
105,Far West and Orana,2017,,29,,29,,,-34.9919426,117.8562572
105,Far West and Orana,2018,,17,,19,,,-34.9919426,117.8562572
105,Far West and Orana,2019,,16,,33,,,-34.9919426,117.8562572
105,Far West and Orana,2020,11573,12,,21,51,,-34.9919426,117.8562572
105,Far West and Orana,2021,11871,4,49502,12,53,1.4,-34.9919426,117.8562572
105,Far West and Orana,2022,12424,,,,59,,-34.9919426,117.8562572
105,Far West and Orana,2023,12604,,,,54,,-34.9919426,117.8562572
105,Far West and Orana,2024,12684,,,,53,,-34.9919426,117.8562572
106,Hunter Valley exc Newcastle,2011,,,107289,,,1.7,-33.0409396,151.6143607
106,Hunter Valley exc Newcastle,2016,,75,110962,75,,1.6,-33.0409396,151.6143607
106,Hunter Valley exc Newcastle,2017,,72,,59,,,-33.0409396,151.6143607
106,Hunter Valley exc Newcastle,2018,,72,,70,,,-33.0409396,151.6143607
106,Hunter Valley exc Newcastle,2019,,57,,42,,,-33.0409396,151.6143607
106,Hunter Valley exc Newcastle,2020,18310,54,,44,55,,-33.0409396,151.6143607
106,Hunter Valley exc Newcastle,2021,19212,18,130822,27,64,1.5,-33.0409396,151.6143607
106,Hunter Valley exc Newcastle,2022,20357,,,,64,,-33.0409396,151.6143607
106,Hunter Valley exc Newcastle,2023,20894,,,,57,,-33.0409396,151.6143607
106,Hunter Valley exc Newcastle,2024,21463,,,,55,,-33.0409396,151.6143607
107,Illawarra,2011,,,119423,,,1.1,-41.574866,147.139329
107,Illawarra,2016,,50,127328,43,,1.1,-41.574866,147.139329
107,Illawarra,2017,,47,,49,,,-41.574866,147.139329
107,Illawarra,2018,,56,,40,,,-41.574866,147.139329
107,Illawarra,2019,,39,,37,,,-41.574866,147.139329
107,Illawarra,2020,18761,31,,41,48,,-41.574866,147.139329
107,Illawarra,2021,19792,16,142732,23,44,1.0,-41.574866,147.139329
107,Illawarra,2022,21157,,,,52,,-41.574866,147.139329
107,Illawarra,2023,21649,,,,57,,-41.574866,147.139329
107,Illawarra,2024,22347,,,,53,,-41.574866,147.139329
108,Mid North Coast,2011,,,71303,,,2.5,-31.2385626,152.6383524
108,Mid North Coast,2016,,40,74159,35,,2.0,-31.2385626,152.6383524
108,Mid North Coast,2017,,26,,44,,,-31.2385626,152.6383524
108,Mid North Coast,2018,,37,,49,,,-31.2385626,152.6383524
108,Mid North Coast,2019,,50,,27,,,-31.2385626,152.6383524
108,Mid North Coast,2020,16297,15,,27,46,,-31.2385626,152.6383524
108,Mid North Coast,2021,16947,14,85976,15,50,1.8,-31.2385626,152.6383524
108,Mid North Coast,2022,17901,,,,56,,-31.2385626,152.6383524
108,Mid North Coast,2023,18459,,,,51,,-31.2385626,152.6383524
108,Mid North Coast,2024,18707,,,,51,,-31.2385626,152.6383524
109,Murray,2011,,,49885,,,1.2,-19.3193276,146.7928555
109,Murray,2016,,28,50100,32,,1.1,-19.3193276,146.7928555
109,Murray,2017,,34,,24,,,-19.3193276,146.7928555
109,Murray,2018,,26,,27,,,-19.3193276,146.7928555
109,Murray,2019,,17,,25,,,-19.3193276,146.7928555
109,Murray,2020,11837,15,,19,163,,-19.3193276,146.7928555
109,Murray,2021,12342,5,55555,10,164,1.0,-19.3193276,146.7928555
109,Murray,2022,12989,,,,166,,-19.3193276,146.7928555
109,Murray,2023,13274,,,,173,,-19.3193276,146.7928555
109,Murray,2024,13496,,,,182,,-19.3193276,146.7928555
110,New England and North West,2011,,,75584,,,1.1,43.9653889,-70.8226541
110,New England and North West,2016,,22,75986,52,,0.9,43.9653889,-70.8226541
110,New England and North West,2017,,42,,41,,,43.9653889,-70.8226541
110,New England and North West,2018,,28,,41,,,43.9653889,-70.8226541
110,New England and North West,2019,,26,,50,,,43.9653889,-70.8226541
110,New England and North West,2020,19553,26,,32,58,,43.9653889,-70.8226541
110,New England and North West,2021,20139,4,80142,18,61,1.0,43.9653889,-70.8226541
110,New England and North West,2022,20966,,,,69,,43.9653889,-70.8226541
110,New England and North West,2023,21143,,,,59,,43.9653889,-70.8226541
110,New England and North West,2024,21363,,,,67,,43.9653889,-70.8226541
111,Newcastle and Lake Macquarie,2011,,,155658,,,1.8,-32.9282712,151.7816802
111,Newcastle and Lake Macquarie,2016,,88,160448,62,,1.5,-32.9282712,151.7816802
111,Newcastle and Lake Macquarie,2017,,56,,38,,,-32.9282712,151.7816802
111,Newcastle and Lake Macquarie,2018,,75,,65,,,-32.9282712,151.7816802
111,Newcastle and Lake Macquarie,2019,,60,,46,,,-32.9282712,151.7816802
111,Newcastle and Lake Macquarie,2020,26329,48,,37,78,,-32.9282712,151.7816802
111,Newcastle and Lake Macquarie,2021,27529,27,186341,26,83,1.3,-32.9282712,151.7816802
111,Newcastle and Lake Macquarie,2022,29192,,,,91,,-32.9282712,151.7816802
111,Newcastle and Lake Macquarie,2023,30001,,,,85,,-32.9282712,151.7816802
111,Newcastle and Lake Macquarie,2024,30909,,,,76,,-32.9282712,151.7816802
112,Richmond - Tweed,2011,,,91890,,,0.9,-28.8219751,153.3473923
112,Richmond - Tweed,2016,,49,96433,42,,0.8,-28.8219751,153.3473923
112,Richmond - Tweed,2017,,40,,40,,,-28.8219751,153.3473923
112,Richmond - Tweed,2018,,39,,49,,,-28.8219751,153.3473923
112,Richmond - Tweed,2019,,41,,44,,,-28.8219751,153.3473923
112,Richmond - Tweed,2020,23673,40,,30,73,,-28.8219751,153.3473923
112,Richmond - Tweed,2021,25095,9,110874,11,76,0.9,-28.8219751,153.3473923
112,Richmond - Tweed,2022,26377,,,,89,,-28.8219751,153.3473923
112,Richmond - Tweed,2023,27104,,,,93,,-28.8219751,153.3473923
112,Richmond - Tweed,2024,27868,,,,88,,-28.8219751,153.3473923
113,Riverina,2011,,,68339,,,1.6,-29.750299,120.553001
113,Riverina,2016,,36,69454,49,,1.4,-29.750299,120.553001
113,Riverina,2017,,36,,42,,,-29.750299,120.553001
113,Riverina,2018,,31,,51,,,-29.750299,120.553001
113,Riverina,2019,,32,,44,,,-29.750299,120.553001
113,Riverina,2020,15722,22,,27,43,,-29.750299,120.553001
113,Riverina,2021,16254,10,76713,13,51,1.5,-29.750299,120.553001
113,Riverina,2022,17085,,,,57,,-29.750299,120.553001
113,Riverina,2023,17290,,,,51,,-29.750299,120.553001
113,Riverina,2024,17484,,,,57,,-29.750299,120.553001
114,Southern Highlands and Shoalhaven,2011,,,53046,,,1.1,-34.5479968,150.3037323
114,Southern Highlands and Shoalhaven,2016,,23,56895,22,,1.0,-34.5479968,150.3037323
114,Southern Highlands and Shoalhaven,2017,,26,,27,,,-34.5479968,150.3037323
114,Southern Highlands and Shoalhaven,2018,,29,,28,,,-34.5479968,150.3037323
114,Southern Highlands and Shoalhaven,2019,,28,,28,,,-34.5479968,150.3037323
114,Southern Highlands and Shoalhaven,2020,12782,16,,17,37,,-34.5479968,150.3037323
114,Southern Highlands and Shoalhaven,2021,13608,12,66151,3,41,0.9,-34.5479968,150.3037323
114,Southern Highlands and Shoalhaven,2022,14394,,,,42,,-34.5479968,150.3037323
114,Southern Highlands and Shoalhaven,2023,14563,,,,42,,-34.5479968,150.3037323
