facility_code,facility_name,lat,lng
EILDON,Eildon,-37.221262,145.920966
EILDONPD,Eildon,-37.221774,145.922582
ELAINEWF,Elaine,-37.6352,144.0237
EMERASF,Emerald,-23.50879,148.128017
ENERGYB,Energy Brix,-38.254444,146.413611
ERARING,Eraring,-33.061548,151.524612
ERB,Eraring,-33.066837,151.515026
ERGT01,Eraring,-33.062117,151.517224
0ERB2,Eraring 2,-33.066837,151.515026
FWF,Ferguson,-38.610902,143.179321
FINLEYSF,Finley,-35.64421,145.508644
FISHER,Fisher,-41.672662,146.268739
FLYCRKWF,Flyers Creek,-33.521475,149.045234
0FULHAMSF,Fulham,-38.121256,146.973124
GANGARR,Gangarri,-26.254813,149.986704
GANNBESS,Gannawarra,-33.735056,143.779462
GANNSF,Gannawarra,-35.73,143.7711
GEORGTWN,George Town,-41.091063,146.893204
GERMCRK,German Creek,-22.928526,148.549097
GIRGSF,Girgarre,-26.2548,149.9867
GSTONE,Gladstone,-23.848741,151.220787
GLBWNHYD,Glenbawn,-32.107937,150.999481
0GLENELLEN,Glenellen,-35.929882,146.909107
GLENMAGG,Glenmaggie,-37.904836,146.800388
GLENNCRK,Glennies Creek,-32.464343,151.130432
GLENSF,Glenrowan,-36.464,146.221
GLRWNSF,Glenrowan West,-36.488083,146.146887
0GNARWARREBESS,Gnarwarre,-38.148311,144.139484
GPWFEST,Golden Plains East,-37.9729,143.783
0GPWFWST,Golden Plains West,-37.90844,143.664887
GOONUMSF,Goonumbla,-33.106413,148.099274
GOESF1,Goorambat East,-36.427352,145.918853
GORDON,Gordon,-42.740157,145.983375
0GRIVSF,Goulburn River,-32.282141,150.102488
GSWF,Goyder South,-33.682196,138.936249
GRANGEAV,Grange Avenue,-33.713011,150.83316
GRANWF,Granville Harbour,-41.802,145.056
GREENB,Greenbank,-27.733562,152.955042
GRIFSF,Griffith,-34.317414,146.120739
GROSV1,Grosvenor 1,-21.929194,148.032416
GROSV2,Grosvenor 2,-21.929194,148.032416
GULLRGWF,Gullen Range,-34.624512,149.458549
GNNDHSF,Gunnedah,-30.965469,150.367917
GUNNING,Gunning,-34.676361,149.66443
0GUNSYNDSF,Gunsynd,-28.408388,150.343437
SNOWY3,Guthega,-36.349772,148.41403
HLMSEW01,Hallam,-38.143332,145.119964
HALAMRD,Hallam Road,-38.052181,145.267798
AGLHAL,Hallett,-33.34931,138.752633
HALLWF,Hallett 1,-33.328434,138.704669
HALLWF2,Hallett 2,-33.53821,138.857215
HAMISF,Hamilton,-20.468593,147.799484
HAMPTON,Hampton,-33.649722,150.05
HVWW,Happy Valley,-35.063118,138.56476
HASTING,Hastings,-38.295952,145.221926
HAUGHT1,Haughton,-19.732168,147.076137
HD1WF,Hawkesdale,-38.148008,142.360925
HAYMSF,Hayman,-20.487516,147.744778
HAZEL,Hazelwood,-38.270575,146.389794
HBESS,Hazelwood BESS,-38.269216,146.394724
HEPWIND,Hepburn,-37.424555,144.115711
HIGHBRY,Highbury,,
HILLSTN,Hillston Sun,-33.532991,145.522279
HORNSDAL,Hornsdale,-33.05982,138.537673
HORNSDAL2,Hornsdale 2,-33.05982,138.537673
HORNSDAL3,Hornsdale 3,-33.05982,138.537673
HORNSDPR,Hornsdale Power Reserve,-33.085519,138.521914
0HORSHAMSF,Horsham,-36.71577,142.25956
HUGSF,Hughenden,-20.854794,144.186048
HUMENSW,Hume,-36.106383,147.032263
HUMEV,Hume,-36.106887,147.032572
HUNTER,Hunter,-32.793406,151.478353
HEZ,Hunter Economic Zone,-32.835481,151.451033
HUNTVGT,Hunter Valley,-32.389989,150.965963
INVICTA,Invicta Sugar Mill,-19.51579,147.10653
ICSM,Isis Central Sugar Mill,-25.197619,152.206949
JACKSGUL,Jacks Gully,-34.072955,150.743691
JEERA,Jeeralang A,-38.275111,146.427046
JEERB,Jeeralang B,-38.273845,146.424827
JEMALNG1,Jemalong,-33.388764,147.669375
JNDSHPS,Jindabyne,-36.434918,148.63057
SNWYGJP2,Jindabyne Pump At Guthega,-36.434918,148.63057
JBUTTERS,John Butters,-42.15589,145.536508
JOUNAMA,Jounama,-35.561274,148.306384
JUNEESF,Junee,-34.81124,147.572099
KABANWF,Kaban,-17.560606,145.413125
KARSF,Karadoc,-34.227904,142.28033
KAREEYA,Kareeya,-17.766456,145.576884
KEEPIT,Keepit,-30.87868,150.491876
AGLSITA,Kemps Creek,-33.874591,150.761858
KENNEDY,Kennedy Energy Park,-20.872792,144.413034
KERNGSP,Kerang,-35.779895,143.941051
KIAMSF1,Kiamal,-35.018133,142.302953
KIATAWF,Kiata,-36.397693,141.746827
0KIDSTON,Kidston,-18.865892,144.15955
KSP1,Kidston,-18.88,144.151
KINCUMB,Kincumber,-33.477111,151.402603
KINGASF,Kingaroy,-26.537087,151.890398
KOGANCK,Kogan Creek,-26.915285,150.748948
KOOLKHAN,Koolkhan,,
KESS1,Koorangie,-35.735367,143.754813
KRCCOGEN,KRC Cogen,-27.57359,151.926883
LADBROKE,Ladbroke Grove,-37.456183,140.782699
LBBESS,Lake Bonney,-37.738787,140.384672
LKBONNY1,Lake Bonney,-37.760504,140.405541
LKBONNY_2,Lake Bonney 2,-37.760504,140.405541
LKBONNY3,Lake Bonney 3,-37.760504,140.405541
LK_ECHO,Lake Echo,-42.253339,146.620515
0LANCSF,Lancaster,-36.290467,145.141535
LVES,Latrobe Valley,-38.258183,146.418614
LNGS,Laverton North,-37.841693,144.788006
LEM_WIL,Lemonthyme / Wilmot,-41.483135,146.125338
0LIDDELLBESS,Liddell,-32.37564,150.978578
LIDDELL,Liddell,-32.369027,150.980112
LILYVASF,Lilyvale,-23.070504,148.413865
0LCNBESS,Limestone Coast North,-37.733181,140.840805
LIMBESS,Limondale,-34.769354,143.559464
LIMOSF1,Limondale,-34.775502,143.508046
LIMOSF2,Limondale 2,-34.775502,143.508046
LGAPWF1,Lincoln Gap,-32.546333,137.552763
0LOCKHART,Lockhart,-35.217506,146.70322
LONGFORD,Longford,-38.223244,147.1631
LRSF,Longreach,-23.455048,144.227917
LONSDALE,Lonsdale,-35.109718,138.490962
0LOTUSCRKWF,Lotus Creek,-22.366535,149.27332
LOYYANGA,Loy Yang A,-38.250622,146.576361
LOYYB,Loy Yang B,-38.253619,146.585593
LUCASHGT,Lucas Heights,-34.04829,150.973916
LUCAS2S2,Lucas Heights 2,-34.044088,150.972475
MACARTH,Macarthur,-38.043483,142.179081
MCINTYR,MacIntyre,-28.2163,152.0327
MACKAY,Mackay,-21.144441,149.159171
MACKNTSH,Mackintosh,-41.701363,145.646558
MANSLR,Manildra,-33.172831,148.71824
MANNUMB,Mannum,-34.917537,139.262695
MANNSF,Mannum 2,-34.9144,139.2681
MAPS2,Mannum Pumping Station,-34.920217,139.314438
MAROOWF1,Maroona,-37.41875,142.82434
MARYRSF,Maryrorough,-27.708973,151.546869
0MARYVALE,Maryvale,-32.465112,148.913306
MEADOWBK,Meadowbank,-42.610835,146.846388
0MREH,Melbourne A1,-37.661274,144.726302
0MREHA2,Melbourne A2,-37.663934,144.726927
MREHA3,Melbourne A3,-37.663819,144.726859
METZSF,Metz N,-30.4915,151.6701
MIDDLSF1,Middlemount,-22.822235,148.720115
MIDLDPS,Midlands,-42.085747,147.274558
MILLMERN,Millmerran,-27.961657,151.28091
MINTARO,Mintaro,-33.903149,138.738797
MOKOSF,Mokoan,-36.487519,146.122634
MOLNGSF1,Molong,-33.082578,148.900073
MOORAWF1,Moorabool,-37.739433,144.171985
MORANBAH,Moranbah,-21.962469,148.006004
MBAHNTH,Moranbah North,-21.978481,148.004809
MOREESF,Moree,-29.572607,149.861266
MWPS,Morganwhyalla Pipeline,-33.97382,139.193756
0MORNBESS,Mornington,-38.268707,145.204823
MORNW,Mornington Disposal,-38.392054,144.854791
0MRTLKBESS,Mortlake,-38.06698,142.669466
MORTLK,Mortlake,-38.062628,142.66633
MRTLSWF,Mortlake South,-38.147965,142.882246
MLWF,Mortons Lane,-37.833186,142.465288
MOUSF,Moura,-24.509628,150.076648
MEWF,Mt Emerald,-17.133248,145.380037
MTGELWF,Mt Gellibrand,-38.257657,143.798651
MTMERCER,Mt Mercer,-37.847593,143.870183
MTMILLAR,Mt Millar,-33.619342,136.717568
MP,Mt Piper,-33.360715,150.035698
MSTUART,Mt Stuart,-19.337156,146.851239
MLLFGEF,Mugga Lane,-35.38517,149.137937
MLSP,Mugga Lane,-35.398441,149.14906
MM,Munmorah,-33.211781,151.542161
MUCRKSF,Munna Creek,-25.882106,152.459626
MUWAWF,Murra Warra,-36.438821,142.246003
MURRAY,Murray,-36.245992,148.188552
MBPS2,Murray Bridge-Onkaparinga,-35.094093,139.211511
MUSSELRO,Musselroe,-40.777105,148.006315
NASF,Narromine,-32.218323,148.254523
NEVERSF,Nevertire,-31.831044,147.705178
NEWENSF,New England,-30.627323,151.556425
NEWPORT,Newport,-37.841374,144.895479
